Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1540.0,1545.0,1500.0,1525.0,1525.0,123763800
2021-03-02,1530.0,1575.0,1525.0,1550.0,1550.0,127733300
2021-03-03,1555.0,1575.0,1535.0,1550.0,1550.0,107829200
2021-03-04,1550.0,1575.0,1530.0,1570.0,1570.0,44768800
2021-03-05,1570.0,1585.0,1555.0,1565.0,1565.0,47689400
2021-03-08,1575.0,1580.0,1560.0,1565.0,1565.0,29676300
2021-03-09,1580.0,1620.0,1565.0,1605.0,1605.0,52649200
2021-03-10,1620.0,1630.0,1595.0,1605.0,1605.0,23717500
2021-03-12,1610.0,1615.0,1580.0,1595.0,1595.0,26011100
2021-03-15,1605.0,1650.0,1605.0,1615.0,1615.0,17443800
2021-03-16,1620.0,1625.0,1565.0,1575.0,1575.0,14258600
2021-03-17,1565.0,1580.0,1510.0,1515.0,1515.0,46266300
2021-03-18,1525.0,1530.0,1500.0,1530.0,1530.0,72322100
2021-03-19,1530.0,1580.0,1505.0,1570.0,1570.0,58570800
2021-03-22,1575.0,1590.0,1560.0,1575.0,1575.0,27486100
2021-03-23,1580.0,1585.0,1545.0,1560.0,1560.0,12456900
2021-03-24,1540.0,1560.0,1535.0,1545.0,1545.0,13524100
2021-03-25,1525.0,1540.0,1505.0,1520.0,1520.0,8214200
2021-03-26,1520.0,1535.0,1515.0,1530.0,1530.0,30175000
2021-03-29,1535.0,1550.0,1530.0,1540.0,1540.0,17957300
2021-03-30,1550.0,1565.0,1540.0,1565.0,1565.0,17152000
2021-03-31,1570.0,1570.0,1515.0,1525.0,1525.0,17086300
2021-04-01,1520.0,1560.0,1515.0,1560.0,1560.0,9494900
2021-04-05,1575.0,1575.0,1535.0,1565.0,1565.0,5709300
2021-04-06,1565.0,1585.0,1545.0,1585.0,1585.0,8809900
2021-04-07,1590.0,1590.0,1560.0,1565.0,1565.0,6309900
2021-04-08,1555.0,1565.0,1510.0,1515.0,1515.0,34521000
2021-04-09,1515.0,1525.0,1505.0,1505.0,1505.0,25913700
2021-04-12,1515.0,1515.0,1425.0,1450.0,1450.0,47686400
2021-04-14,1405.0,1440.0,1400.0,1420.0,1420.0,54858200
