Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,177.0,179.0,174.0,174.0,174.0,668200
2021-03-02,174.0,177.0,173.0,177.0,177.0,892400
2021-03-03,177.0,177.0,173.0,175.0,175.0,1191800
2021-03-04,175.0,178.0,173.0,173.0,173.0,1315800
2021-03-05,173.0,176.0,172.0,174.0,174.0,385900
2021-03-08,175.0,175.0,173.0,175.0,175.0,584900
2021-03-09,175.0,196.0,174.0,192.0,192.0,15151600
2021-03-10,193.0,214.0,186.0,188.0,188.0,27892700
2021-03-12,188.0,192.0,185.0,188.0,188.0,4077600
2021-03-15,189.0,197.0,186.0,195.0,195.0,5775400
2021-03-16,196.0,214.0,194.0,199.0,199.0,21389900
2021-03-17,200.0,202.0,192.0,193.0,193.0,3622400
2021-03-18,193.0,197.0,186.0,188.0,188.0,3589600
2021-03-19,188.0,191.0,181.0,182.0,182.0,3675600
2021-03-22,182.0,186.0,182.0,184.0,184.0,1679200
2021-03-23,184.0,189.0,184.0,184.0,184.0,2502400
2021-03-24,184.0,184.0,172.0,172.0,172.0,5644900
2021-03-25,172.0,178.0,161.0,171.0,171.0,2515500
2021-03-26,173.0,175.0,170.0,171.0,171.0,1623300
2021-03-29,174.0,179.0,172.0,173.0,173.0,1982400
2021-03-30,173.0,177.0,166.0,169.0,169.0,1216700
2021-03-31,169.0,169.0,160.0,163.0,163.0,2818600
2021-04-01,164.0,170.0,163.0,167.0,167.0,401100
2021-04-05,170.0,171.0,166.0,166.0,166.0,978100
2021-04-06,166.0,168.0,164.0,167.0,167.0,666600
2021-04-07,167.0,173.0,165.0,171.0,171.0,1043500
2021-04-08,171.0,181.0,171.0,177.0,177.0,9308300
2021-04-09,177.0,177.0,169.0,171.0,171.0,4030000
2021-04-12,171.0,171.0,164.0,165.0,165.0,1811500
2021-04-14,166.0,168.0,163.0,165.0,165.0,577100
