Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1195.0,1200.0,1180.0,1185.0,1185.0,96722600
2021-03-02,1200.0,1220.0,1185.0,1185.0,1185.0,125690800
2021-03-03,1195.0,1200.0,1185.0,1185.0,1185.0,53347200
2021-03-04,1185.0,1235.0,1180.0,1220.0,1220.0,242780100
2021-03-05,1210.0,1220.0,1175.0,1180.0,1180.0,157251500
2021-03-08,1190.0,1200.0,1170.0,1175.0,1175.0,73736900
2021-03-09,1175.0,1190.0,1160.0,1165.0,1165.0,84429300
2021-03-10,1175.0,1185.0,1160.0,1170.0,1170.0,53621900
2021-03-12,1190.0,1225.0,1185.0,1210.0,1210.0,170821500
2021-03-15,1225.0,1260.0,1220.0,1235.0,1235.0,173813000
2021-03-16,1245.0,1250.0,1205.0,1220.0,1220.0,99266400
2021-03-17,1215.0,1235.0,1215.0,1230.0,1230.0,67741700
2021-03-18,1245.0,1270.0,1235.0,1270.0,1270.0,174402800
2021-03-19,1270.0,1300.0,1240.0,1300.0,1300.0,377618800
2021-03-22,1305.0,1340.0,1280.0,1285.0,1285.0,178934000
2021-03-23,1320.0,1330.0,1290.0,1300.0,1300.0,108812100
2021-03-24,1280.0,1280.0,1220.0,1225.0,1225.0,139175600
2021-03-25,1225.0,1245.0,1190.0,1205.0,1205.0,119051300
2021-03-26,1215.0,1225.0,1200.0,1220.0,1220.0,58260700
2021-03-29,1230.0,1235.0,1205.0,1205.0,1205.0,51416200
2021-03-30,1205.0,1205.0,1170.0,1175.0,1175.0,93116600
2021-03-31,1175.0,1185.0,1160.0,1175.0,1175.0,80881500
2021-04-01,1175.0,1200.0,1170.0,1180.0,1180.0,51622400
2021-04-05,1195.0,1205.0,1180.0,1185.0,1185.0,45262300
2021-04-06,1200.0,1210.0,1180.0,1210.0,1210.0,48401800
2021-04-07,1210.0,1225.0,1200.0,1220.0,1220.0,39520700
2021-04-08,1220.0,1230.0,1205.0,1230.0,1230.0,44812000
2021-04-09,1220.0,1230.0,1205.0,1205.0,1205.0,38632200
2021-04-12,1210.0,1215.0,1175.0,1180.0,1180.0,40274800
2021-04-14,1175.0,1200.0,1165.0,1195.0,1195.0,38916200
