Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,138.0,138.0,133.0,133.0,133.0,3000
2021-03-02,133.0,179.0,133.0,179.0,179.0,437500
2021-03-03,191.0,240.0,189.0,240.0,240.0,737400
2021-03-04,260.0,300.0,250.0,300.0,300.0,1094800
2021-03-05,300.0,300.0,300.0,300.0,300.0,0
2021-03-08,320.0,322.0,280.0,280.0,280.0,164600
2021-03-09,262.0,262.0,262.0,262.0,262.0,5800
2021-03-10,244.0,244.0,244.0,244.0,244.0,8600
2021-03-12,228.0,228.0,228.0,228.0,228.0,7100
2021-03-15,214.0,214.0,214.0,214.0,214.0,21900
2021-03-16,200.0,202.0,200.0,200.0,200.0,39200
2021-03-17,186.0,186.0,186.0,186.0,186.0,131000
2021-03-18,173.0,200.0,173.0,176.0,176.0,273500
2021-03-19,176.0,236.0,176.0,236.0,236.0,790200
2021-03-22,258.0,294.0,220.0,294.0,294.0,4343300
2021-03-23,310.0,366.0,300.0,300.0,300.0,4309100
2021-03-24,300.0,364.0,280.0,280.0,280.0,2306800
2021-03-25,280.0,322.0,262.0,262.0,262.0,1003900
2021-03-26,244.0,266.0,244.0,244.0,244.0,156200
2021-03-29,244.0,244.0,228.0,228.0,228.0,161500
2021-03-30,228.0,228.0,214.0,214.0,214.0,139700
2021-03-31,214.0,214.0,200.0,202.0,202.0,57900
2021-04-01,200.0,252.0,188.0,252.0,252.0,273100
2021-04-05,272.0,314.0,264.0,300.0,300.0,2255500
2021-04-06,300.0,300.0,280.0,280.0,280.0,90200
2021-04-07,280.0,300.0,262.0,266.0,266.0,745700
2021-04-08,266.0,288.0,254.0,266.0,266.0,130200
2021-04-09,260.0,284.0,260.0,272.0,272.0,239700
2021-04-12,272.0,340.0,256.0,340.0,340.0,2325500
2021-04-14,338.0,340.0,318.0,320.0,320.0,367900
