Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,232.0,238.0,232.0,238.0,238.0,2000
2021-03-02,238.0,240.0,238.0,240.0,240.0,20200
2021-03-03,238.0,238.0,238.0,238.0,238.0,600
2021-03-04,248.0,248.0,238.0,238.0,238.0,10200
2021-03-05,238.0,238.0,238.0,238.0,238.0,1200
2021-03-08,238.0,250.0,232.0,246.0,246.0,476200
2021-03-09,246.0,246.0,240.0,240.0,240.0,22700
2021-03-10,240.0,240.0,232.0,232.0,232.0,5600
2021-03-12,234.0,238.0,234.0,238.0,238.0,12100
2021-03-15,238.0,240.0,238.0,240.0,240.0,25000
2021-03-16,242.0,242.0,234.0,234.0,234.0,8900
2021-03-17,234.0,242.0,234.0,242.0,242.0,27900
2021-03-18,244.0,250.0,238.0,246.0,246.0,61100
2021-03-19,254.0,254.0,246.0,246.0,246.0,6700
2021-03-22,246.0,246.0,244.0,246.0,246.0,6400
2021-03-23,244.0,246.0,244.0,246.0,246.0,2100
2021-03-24,246.0,258.0,232.0,234.0,234.0,10900
2021-03-25,234.0,254.0,234.0,234.0,234.0,3800
2021-03-26,234.0,254.0,234.0,242.0,242.0,16700
2021-03-29,242.0,278.0,232.0,232.0,232.0,44200
2021-03-30,232.0,276.0,232.0,232.0,232.0,4000
2021-03-31,260.0,274.0,234.0,248.0,248.0,61500
2021-04-01,248.0,262.0,236.0,238.0,238.0,12800
2021-04-05,250.0,264.0,238.0,238.0,238.0,16000
2021-04-06,238.0,270.0,238.0,238.0,238.0,30700
2021-04-07,234.0,252.0,234.0,238.0,238.0,5400
2021-04-08,238.0,270.0,238.0,256.0,256.0,18200
2021-04-09,256.0,256.0,240.0,250.0,250.0,10300
2021-04-12,270.0,270.0,234.0,236.0,236.0,11600
2021-04-14,248.0,250.0,234.0,246.0,246.0,11900
