Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,294.0,294.0,294.0,294.0,294.0,79800
2021-03-02,294.0,294.0,294.0,294.0,294.0,80200
2021-03-03,294.0,294.0,292.0,292.0,292.0,88500
2021-03-04,292.0,292.0,292.0,292.0,292.0,89500
2021-03-05,292.0,292.0,292.0,292.0,292.0,83200
2021-03-08,292.0,294.0,292.0,292.0,292.0,85600
2021-03-09,292.0,292.0,292.0,292.0,292.0,82600
2021-03-10,292.0,292.0,292.0,292.0,292.0,87000
2021-03-12,292.0,292.0,292.0,292.0,292.0,82600
2021-03-15,292.0,292.0,292.0,292.0,292.0,82600
2021-03-16,292.0,294.0,292.0,294.0,294.0,84600
2021-03-17,294.0,294.0,292.0,292.0,292.0,100900
2021-03-18,29200.0,29400.0,29200.0,29400.0,29400.0,94100
2021-03-19,294.0,294.0,294.0,294.0,294.0,97000
2021-03-22,294.0,294.0,292.0,292.0,292.0,98700
2021-03-23,292.0,292.0,292.0,292.0,292.0,99500
2021-03-24,292.0,292.0,292.0,292.0,292.0,100600
2021-03-25,292.0,292.0,292.0,292.0,292.0,98600
2021-03-26,292.0,292.0,292.0,292.0,292.0,98700
2021-03-29,292.0,292.0,292.0,292.0,292.0,98500
2021-03-30,292.0,292.0,292.0,292.0,292.0,98700
2021-03-31,292.0,292.0,292.0,292.0,292.0,98500
2021-04-01,292.0,292.0,292.0,292.0,292.0,89500
2021-04-05,292.0,292.0,290.0,292.0,292.0,91100
2021-04-06,292.0,292.0,290.0,290.0,290.0,90200
2021-04-07,290.0,290.0,290.0,290.0,290.0,89700
2021-04-08,290.0,290.0,290.0,290.0,290.0,89700
2021-04-09,290.0,290.0,290.0,290.0,290.0,89800
2021-04-12,290.0,290.0,288.0,290.0,290.0,89900
2021-04-14,290.0,290.0,288.0,290.0,290.0,90400
