Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,2850.0,2880.0,2810.0,2840.0,2840.0,166782500
2021-03-02,2840.0,2850.0,2720.0,2730.0,2730.0,298489400
2021-03-03,2770.0,2770.0,2670.0,2700.0,2700.0,192152700
2021-03-04,2520.0,2590.0,2520.0,2520.0,2520.0,466387000
2021-03-05,2370.0,2520.0,2350.0,2420.0,2420.0,745024700
2021-03-08,2490.0,2500.0,2270.0,2280.0,2280.0,476947100
2021-03-09,2280.0,2360.0,2180.0,2230.0,2230.0,515109500
2021-03-10,2260.0,2280.0,2170.0,2230.0,2230.0,193024600
2021-03-12,2280.0,2440.0,2280.0,2420.0,2420.0,537855700
2021-03-15,2430.0,2450.0,2280.0,2340.0,2340.0,371987500
2021-03-16,2350.0,2350.0,2240.0,2270.0,2270.0,231241100
2021-03-17,2290.0,2330.0,2260.0,2300.0,2300.0,147188700
2021-03-18,2350.0,2350.0,2270.0,2290.0,2290.0,149549500
2021-03-19,2270.0,2280.0,2210.0,2250.0,2250.0,123414100
2021-03-22,2260.0,2340.0,2250.0,2260.0,2260.0,125924600
2021-03-23,2300.0,2310.0,2220.0,2270.0,2270.0,141239100
2021-03-24,2250.0,2250.0,2170.0,2170.0,2170.0,156928900
2021-03-25,2170.0,2230.0,2100.0,2180.0,2180.0,191883200
2021-03-26,2230.0,2440.0,2200.0,2430.0,2430.0,652293400
2021-03-29,2430.0,2430.0,2260.0,2260.0,2260.0,454909500
2021-03-30,2270.0,2320.0,2160.0,2210.0,2210.0,282270900
2021-03-31,2180.0,2250.0,2130.0,2250.0,2250.0,268981300
2021-04-01,2290.0,2300.0,2200.0,2240.0,2240.0,160897600
2021-04-05,2280.0,2280.0,2190.0,2200.0,2200.0,107349400
2021-04-06,2250.0,2340.0,2210.0,2330.0,2330.0,323980600
2021-04-07,2330.0,2370.0,2270.0,2360.0,2360.0,237921000
2021-04-08,2360.0,2480.0,2340.0,2470.0,2470.0,327839300
2021-04-09,2450.0,2490.0,2340.0,2340.0,2340.0,264837100
2021-04-12,2310.0,2310.0,2210.0,2250.0,2250.0,194738500
2021-04-14,2280.0,2340.0,2280.0,2330.0,2330.0,143891700
