Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,174.0,183.0,173.0,174.0,174.0,124700
2021-03-02,175.0,182.0,175.0,181.0,181.0,313200
2021-03-03,181.0,182.0,174.0,176.0,176.0,254300
2021-03-04,175.0,177.0,175.0,175.0,175.0,418100
2021-03-05,176.0,177.0,175.0,176.0,176.0,586100
2021-03-08,176.0,176.0,173.0,174.0,174.0,197400
2021-03-09,174.0,176.0,174.0,176.0,176.0,216300
2021-03-10,176.0,176.0,175.0,176.0,176.0,226500
2021-03-12,175.0,176.0,173.0,176.0,176.0,451200
2021-03-15,176.0,178.0,174.0,175.0,175.0,523100
2021-03-16,175.0,178.0,175.0,176.0,176.0,154600
2021-03-17,176.0,186.0,174.0,183.0,183.0,785600
2021-03-18,183.0,186.0,175.0,185.0,185.0,1492800
2021-03-19,186.0,200.0,178.0,184.0,184.0,351800
2021-03-22,185.0,185.0,180.0,185.0,185.0,168400
2021-03-23,185.0,185.0,176.0,177.0,177.0,386900
2021-03-24,180.0,180.0,175.0,178.0,178.0,227400
2021-03-25,178.0,178.0,175.0,175.0,175.0,147100
2021-03-26,175.0,185.0,174.0,178.0,178.0,95500
2021-03-29,178.0,178.0,175.0,178.0,178.0,56300
2021-03-30,175.0,179.0,175.0,179.0,179.0,241500
2021-03-31,179.0,179.0,174.0,175.0,175.0,41400
2021-04-01,176.0,182.0,176.0,180.0,180.0,86500
2021-04-05,180.0,182.0,174.0,177.0,177.0,1751400
2021-04-06,177.0,179.0,174.0,178.0,178.0,302400
2021-04-07,178.0,178.0,173.0,176.0,176.0,440400
2021-04-08,175.0,177.0,174.0,175.0,175.0,946400
2021-04-09,176.0,177.0,174.0,177.0,177.0,292200
2021-04-12,177.0,178.0,175.0,176.0,176.0,198700
2021-04-14,179.0,179.0,177.0,179.0,179.0,111100
