Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,178.0,178.0,162.0,168.0,168.0,53000
2021-03-02,178.0,178.0,167.0,167.0,167.0,71900
2021-03-03,177.0,177.0,159.0,169.0,169.0,69100
2021-03-04,179.0,179.0,168.0,169.0,169.0,66800
2021-03-05,179.0,179.0,168.0,168.0,168.0,24200
2021-03-08,178.0,178.0,157.0,170.0,170.0,78900
2021-03-09,180.0,180.0,168.0,173.0,173.0,199900
2021-03-10,173.0,173.0,170.0,172.0,172.0,55700
2021-03-12,182.0,182.0,167.0,171.0,171.0,79700
2021-03-15,181.0,181.0,168.0,173.0,173.0,49200
2021-03-16,173.0,173.0,170.0,170.0,170.0,56900
2021-03-17,180.0,180.0,170.0,171.0,171.0,41200
2021-03-18,181.0,181.0,168.0,170.0,170.0,94300
2021-03-19,180.0,180.0,168.0,169.0,169.0,102500
2021-03-22,179.0,179.0,168.0,170.0,170.0,141300
2021-03-23,170.0,170.0,168.0,168.0,168.0,54800
2021-03-24,178.0,178.0,167.0,167.0,167.0,29100
2021-03-25,177.0,177.0,165.0,167.0,167.0,27000
2021-03-26,170.0,170.0,156.0,168.0,168.0,89000
2021-03-29,178.0,178.0,168.0,168.0,168.0,29100
2021-03-30,170.0,170.0,168.0,170.0,170.0,23400
2021-03-31,168.0,170.0,166.0,170.0,170.0,67300
2021-04-01,170.0,170.0,166.0,170.0,170.0,15500
2021-04-05,170.0,170.0,168.0,169.0,169.0,38300
2021-04-06,169.0,169.0,166.0,169.0,169.0,9600
2021-04-07,168.0,170.0,168.0,170.0,170.0,33900
2021-04-08,169.0,169.0,166.0,168.0,168.0,14100
2021-04-09,168.0,169.0,167.0,169.0,169.0,18800
2021-04-12,168.0,168.0,158.0,168.0,168.0,28900
2021-04-14,166.0,166.0,166.0,166.0,166.0,500
