Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,795.0,795.0,780.0,785.0,785.0,1007700
2021-03-02,790.0,795.0,785.0,795.0,795.0,543100
2021-03-03,795.0,795.0,790.0,795.0,795.0,348400
2021-03-04,795.0,795.0,785.0,795.0,795.0,662200
2021-03-05,795.0,800.0,785.0,795.0,795.0,542900
2021-03-08,795.0,800.0,790.0,800.0,800.0,299700
2021-03-09,800.0,805.0,790.0,805.0,805.0,1176100
2021-03-10,810.0,830.0,800.0,805.0,805.0,3056100
2021-03-12,815.0,820.0,800.0,810.0,810.0,683500
2021-03-15,810.0,820.0,800.0,805.0,805.0,631000
2021-03-16,805.0,815.0,800.0,805.0,805.0,404100
2021-03-17,805.0,805.0,795.0,800.0,800.0,323100
2021-03-18,805.0,815.0,800.0,810.0,810.0,451000
2021-03-19,810.0,815.0,805.0,810.0,810.0,217500
2021-03-22,810.0,825.0,785.0,810.0,810.0,1769600
2021-03-23,810.0,810.0,800.0,810.0,810.0,306600
2021-03-24,805.0,810.0,790.0,800.0,800.0,1282800
2021-03-25,800.0,805.0,790.0,800.0,800.0,498100
2021-03-26,795.0,805.0,795.0,800.0,800.0,772200
2021-03-29,800.0,810.0,795.0,805.0,805.0,275800
2021-03-30,805.0,815.0,800.0,805.0,805.0,424600
2021-03-31,805.0,815.0,795.0,805.0,805.0,956700
2021-04-01,805.0,815.0,800.0,805.0,805.0,108400
2021-04-05,805.0,815.0,805.0,815.0,815.0,296800
2021-04-06,815.0,815.0,805.0,810.0,810.0,72400
2021-04-07,810.0,815.0,795.0,805.0,805.0,631700
2021-04-08,800.0,815.0,800.0,810.0,810.0,142300
2021-04-09,810.0,815.0,805.0,805.0,805.0,381600
2021-04-12,805.0,820.0,805.0,805.0,805.0,160100
2021-04-14,805.0,815.0,805.0,805.0,805.0,109800
