Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,236.0,260.0,236.0,254.0,254.0,700666500
2021-03-02,258.0,266.0,252.0,252.0,252.0,431826200
2021-03-03,254.0,256.0,238.0,244.0,244.0,138299400
2021-03-04,240.0,246.0,236.0,240.0,240.0,83090600
2021-03-05,236.0,242.0,232.0,238.0,238.0,54536200
2021-03-08,240.0,246.0,236.0,236.0,236.0,62113800
2021-03-09,236.0,240.0,222.0,230.0,230.0,142610200
2021-03-10,230.0,244.0,224.0,236.0,236.0,147863100
2021-03-12,236.0,252.0,236.0,250.0,250.0,292010800
2021-03-15,250.0,256.0,248.0,248.0,248.0,136293500
2021-03-16,248.0,252.0,244.0,244.0,244.0,42698000
2021-03-17,244.0,248.0,242.0,244.0,244.0,35566600
2021-03-18,244.0,248.0,242.0,246.0,246.0,33954700
2021-03-19,246.0,246.0,238.0,238.0,238.0,59821200
2021-03-22,238.0,244.0,236.0,238.0,238.0,46926400
2021-03-23,240.0,242.0,232.0,234.0,234.0,65157600
2021-03-24,234.0,236.0,230.0,232.0,232.0,41837900
2021-03-25,234.0,236.0,224.0,232.0,232.0,69830800
2021-03-26,232.0,238.0,230.0,236.0,236.0,44091400
2021-03-29,236.0,240.0,232.0,232.0,232.0,32194200
2021-03-30,234.0,234.0,222.0,224.0,224.0,62447900
2021-03-31,230.0,230.0,210.0,212.0,212.0,134438500
2021-04-01,212.0,218.0,212.0,216.0,216.0,27348400
2021-04-05,216.0,220.0,212.0,214.0,214.0,30277000
2021-04-06,214.0,218.0,212.0,216.0,216.0,35693100
2021-04-07,216.0,216.0,212.0,214.0,214.0,17951600
2021-04-08,214.0,228.0,212.0,222.0,222.0,78338900
2021-04-09,222.0,226.0,218.0,218.0,218.0,25404600
2021-04-12,218.0,218.0,204.0,206.0,206.0,83137700
2021-04-14,204.0,208.0,202.0,204.0,204.0,37124200
