Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,116.0,116.0,110.0,114.0,114.0,117700
2021-03-02,115.0,120.0,115.0,119.0,119.0,146600
2021-03-03,119.0,119.0,112.0,114.0,114.0,167500
2021-03-04,114.0,117.0,111.0,111.0,111.0,70600
2021-03-05,111.0,111.0,105.0,110.0,110.0,113500
2021-03-08,110.0,110.0,105.0,105.0,105.0,321800
2021-03-09,105.0,112.0,105.0,107.0,107.0,136300
2021-03-10,106.0,110.0,105.0,106.0,106.0,290900
2021-03-12,106.0,135.0,106.0,117.0,117.0,1782100
2021-03-15,122.0,132.0,111.0,120.0,120.0,484700
2021-03-16,126.0,126.0,112.0,119.0,119.0,187000
2021-03-17,125.0,125.0,113.0,116.0,116.0,9700
2021-03-18,120.0,122.0,112.0,117.0,117.0,231000
2021-03-19,112.0,115.0,112.0,112.0,112.0,273700
2021-03-22,113.0,125.0,113.0,116.0,116.0,477100
2021-03-23,126.0,126.0,108.0,116.0,116.0,494600
2021-03-24,126.0,126.0,113.0,113.0,113.0,30500
2021-03-25,123.0,123.0,111.0,116.0,116.0,20800
2021-03-26,126.0,126.0,112.0,119.0,119.0,61700
2021-03-29,129.0,129.0,111.0,115.0,115.0,54200
2021-03-30,117.0,117.0,111.0,115.0,115.0,10000
2021-03-31,125.0,125.0,111.0,113.0,113.0,72600
2021-04-01,123.0,123.0,111.0,115.0,115.0,71000
2021-04-05,111.0,115.0,107.0,113.0,113.0,106700
2021-04-06,107.0,112.0,107.0,109.0,109.0,64700
2021-04-07,119.0,119.0,105.0,112.0,112.0,30900
2021-04-08,122.0,122.0,112.0,114.0,114.0,50400
2021-04-09,115.0,117.0,112.0,115.0,115.0,83600
2021-04-12,112.0,115.0,107.0,113.0,113.0,153900
2021-04-14,112.0,113.0,107.0,111.0,111.0,31600
