Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,141500
2021-03-02,50.0,51.0,50.0,50.0,50.0,1169400
2021-03-03,56.0,67.0,50.0,51.0,51.0,90361300
2021-03-04,51.0,54.0,50.0,51.0,51.0,13551300
2021-03-05,51.0,54.0,51.0,51.0,51.0,7365500
2021-03-08,52.0,55.0,51.0,51.0,51.0,8990700
2021-03-09,51.0,52.0,50.0,50.0,50.0,2148600
2021-03-10,50.0,51.0,50.0,50.0,50.0,3640700
2021-03-12,50.0,51.0,50.0,51.0,51.0,2206700
2021-03-15,51.0,51.0,50.0,50.0,50.0,5208800
2021-03-16,50.0,50.0,50.0,50.0,50.0,1031900
2021-03-17,50.0,51.0,50.0,50.0,50.0,14561900
2021-03-18,51.0,59.0,51.0,52.0,52.0,32524000
2021-03-19,53.0,56.0,51.0,51.0,51.0,9754000
2021-03-22,52.0,55.0,52.0,53.0,53.0,11310000
2021-03-23,53.0,54.0,51.0,52.0,52.0,4224600
2021-03-24,52.0,53.0,51.0,51.0,51.0,2229000
2021-03-25,52.0,56.0,50.0,50.0,50.0,19436500
2021-03-26,51.0,52.0,50.0,51.0,51.0,6189700
2021-03-29,51.0,52.0,50.0,50.0,50.0,4623400
2021-03-30,50.0,51.0,50.0,50.0,50.0,1072500
2021-03-31,50.0,51.0,50.0,50.0,50.0,1069400
2021-04-01,50.0,51.0,50.0,50.0,50.0,807600
2021-04-05,50.0,51.0,50.0,50.0,50.0,2657700
2021-04-06,50.0,52.0,50.0,51.0,51.0,1931700
2021-04-07,52.0,52.0,50.0,50.0,50.0,538000
2021-04-08,51.0,51.0,50.0,50.0,50.0,646700
2021-04-09,50.0,51.0,50.0,50.0,50.0,519500
2021-04-12,50.0,51.0,50.0,50.0,50.0,851100
2021-04-14,50.0,51.0,50.0,50.0,50.0,5951400
