Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,16700
2021-03-02,50.0,50.0,50.0,50.0,50.0,200100
2021-03-03,50.0,50.0,50.0,50.0,50.0,32800
2021-03-04,50.0,50.0,50.0,50.0,50.0,16300
2021-03-05,50.0,50.0,50.0,50.0,50.0,974000
2021-03-08,50.0,50.0,50.0,50.0,50.0,648100
2021-03-09,50.0,50.0,50.0,50.0,50.0,165900
2021-03-10,50.0,50.0,50.0,50.0,50.0,14100
2021-03-12,50.0,50.0,50.0,50.0,50.0,240800
2021-03-15,50.0,50.0,50.0,50.0,50.0,18900
2021-03-16,50.0,50.0,50.0,50.0,50.0,32700
2021-03-17,50.0,50.0,50.0,50.0,50.0,72400
2021-03-18,50.0,50.0,50.0,50.0,50.0,105000
2021-03-19,50.0,50.0,50.0,50.0,50.0,49100
2021-03-22,50.0,50.0,50.0,50.0,50.0,7100
2021-03-23,50.0,50.0,50.0,50.0,50.0,40600
2021-03-24,50.0,50.0,50.0,50.0,50.0,4200
2021-03-25,50.0,50.0,50.0,50.0,50.0,5400
2021-03-26,50.0,50.0,50.0,50.0,50.0,3000
2021-03-29,50.0,50.0,50.0,50.0,50.0,3600
2021-03-30,50.0,50.0,50.0,50.0,50.0,29000
2021-03-31,50.0,50.0,50.0,50.0,50.0,700
2021-04-01,50.0,50.0,50.0,50.0,50.0,3200
2021-04-05,50.0,50.0,50.0,50.0,50.0,14700
2021-04-06,50.0,50.0,50.0,50.0,50.0,500
2021-04-07,50.0,50.0,50.0,50.0,50.0,6000
2021-04-08,50.0,50.0,50.0,50.0,50.0,500
2021-04-09,50.0,50.0,50.0,50.0,50.0,22700
2021-04-12,50.0,50.0,50.0,50.0,50.0,400
2021-04-14,50.0,50.0,50.0,50.0,50.0,100
