Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,700.0,700.0,670.0,690.0,690.0,2700
2021-03-02,690.0,710.0,690.0,710.0,710.0,2800
2021-03-03,715.0,715.0,680.0,710.0,710.0,21700
2021-03-04,710.0,710.0,705.0,710.0,710.0,6200
2021-03-05,710.0,710.0,710.0,710.0,710.0,31100
2021-03-08,710.0,710.0,710.0,710.0,710.0,21400
2021-03-09,710.0,710.0,710.0,710.0,710.0,100
2021-03-10,670.0,695.0,665.0,695.0,695.0,49300
2021-03-12,695.0,695.0,665.0,695.0,695.0,5300
2021-03-15,695.0,695.0,670.0,695.0,695.0,2900
2021-03-16,705.0,705.0,670.0,670.0,670.0,22500
2021-03-17,640.0,670.0,640.0,670.0,670.0,6500
2021-03-18,670.0,670.0,670.0,670.0,670.0,500
2021-03-19,670.0,700.0,670.0,700.0,700.0,22100
2021-03-22,700.0,700.0,700.0,700.0,700.0,29800
2021-03-23,695.0,700.0,695.0,700.0,700.0,20500
2021-03-24,670.0,700.0,670.0,700.0,700.0,200
2021-03-25,700.0,700.0,700.0,700.0,700.0,7100
2021-03-26,750.0,750.0,730.0,730.0,730.0,2300
2021-03-29,725.0,725.0,725.0,725.0,725.0,800
2021-03-30,720.0,720.0,720.0,720.0,720.0,100
2021-03-31,720.0,750.0,720.0,730.0,730.0,4000
2021-04-01,750.0,750.0,680.0,700.0,700.0,1400
2021-04-05,700.0,700.0,700.0,700.0,700.0,700
2021-04-06,700.0,700.0,670.0,700.0,700.0,35100
2021-04-07,700.0,845.0,700.0,830.0,830.0,10300
2021-04-08,830.0,830.0,775.0,775.0,775.0,42600
2021-04-09,775.0,775.0,725.0,725.0,725.0,34900
2021-04-12,725.0,725.0,690.0,700.0,700.0,85800
2021-04-14,700.0,700.0,690.0,690.0,690.0,19500
