Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,87.0,91.0,83.0,86.0,86.0,1995600
2021-03-02,86.0,87.0,82.0,83.0,83.0,1803800
2021-03-03,85.0,98.0,83.0,87.0,87.0,12087900
2021-03-04,87.0,89.0,81.0,81.0,81.0,9754200
2021-03-05,83.0,86.0,78.0,81.0,81.0,8344900
2021-03-08,82.0,84.0,79.0,81.0,81.0,3830400
2021-03-09,81.0,83.0,76.0,78.0,78.0,5724500
2021-03-10,78.0,85.0,74.0,77.0,77.0,32114600
2021-03-12,78.0,81.0,75.0,76.0,76.0,22653400
2021-03-15,76.0,80.0,71.0,73.0,73.0,19942600
2021-03-16,73.0,74.0,68.0,68.0,68.0,21418700
2021-03-17,68.0,68.0,64.0,64.0,64.0,4371500
2021-03-18,64.0,64.0,60.0,60.0,60.0,2985000
2021-03-19,56.0,70.0,56.0,58.0,58.0,41618200
2021-03-22,58.0,78.0,58.0,74.0,74.0,192401000
2021-03-23,75.0,77.0,69.0,69.0,69.0,32006700
2021-03-24,65.0,65.0,65.0,65.0,65.0,998900
2021-03-25,61.0,61.0,61.0,61.0,61.0,1882700
2021-03-26,57.0,62.0,57.0,57.0,57.0,43191800
2021-03-29,58.0,68.0,57.0,58.0,58.0,37950500
2021-03-30,58.0,61.0,57.0,60.0,60.0,26267900
2021-03-31,60.0,61.0,58.0,58.0,58.0,8463100
2021-04-01,58.0,72.0,58.0,64.0,64.0,91428400
2021-04-05,63.0,68.0,61.0,64.0,64.0,13775300
2021-04-06,65.0,67.0,62.0,64.0,64.0,27019700
2021-04-07,64.0,66.0,62.0,64.0,64.0,10430600
2021-04-08,63.0,75.0,62.0,68.0,68.0,48462500
2021-04-09,69.0,72.0,68.0,69.0,69.0,11476700
2021-04-12,71.0,72.0,66.0,67.0,67.0,7367000
2021-04-14,66.0,68.0,64.0,65.0,65.0,6258400
