Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,66.0,88.0,65.0,71.0,71.0,80040800
2021-03-02,71.0,73.0,67.0,68.0,68.0,9879300
2021-03-03,68.0,70.0,66.0,69.0,69.0,5619700
2021-03-04,69.0,70.0,67.0,67.0,67.0,6027300
2021-03-05,67.0,68.0,64.0,65.0,65.0,4032100
2021-03-08,65.0,69.0,63.0,69.0,69.0,6208100
2021-03-09,70.0,74.0,65.0,65.0,65.0,13797400
2021-03-10,67.0,71.0,64.0,66.0,66.0,6805200
2021-03-12,66.0,70.0,66.0,67.0,67.0,3106800
2021-03-15,70.0,86.0,68.0,68.0,68.0,131555900
2021-03-16,70.0,70.0,66.0,69.0,69.0,17655500
2021-03-17,70.0,71.0,66.0,67.0,67.0,6309400
2021-03-18,68.0,69.0,67.0,67.0,67.0,1930600
2021-03-19,67.0,68.0,65.0,67.0,67.0,2988400
2021-03-22,67.0,69.0,66.0,66.0,66.0,4996600
2021-03-23,67.0,69.0,66.0,67.0,67.0,3124300
2021-03-24,68.0,68.0,66.0,66.0,66.0,3150900
2021-03-25,66.0,67.0,65.0,66.0,66.0,1875900
2021-03-26,67.0,75.0,66.0,72.0,72.0,56438500
2021-03-29,73.0,74.0,67.0,68.0,68.0,18119100
2021-03-30,70.0,70.0,65.0,66.0,66.0,8277400
2021-03-31,66.0,71.0,64.0,68.0,68.0,18172400
2021-04-01,70.0,71.0,66.0,67.0,67.0,8485000
2021-04-05,67.0,69.0,66.0,66.0,66.0,6976300
2021-04-06,66.0,68.0,66.0,68.0,68.0,3220000
2021-04-07,68.0,68.0,66.0,67.0,67.0,4047900
2021-04-08,67.0,70.0,66.0,70.0,70.0,11014100
2021-04-09,71.0,71.0,68.0,68.0,68.0,5544000
2021-04-12,68.0,70.0,67.0,68.0,68.0,2807700
2021-04-14,73.0,78.0,69.0,69.0,69.0,51343800
