Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,150.0,150.0,147.0,147.0,147.0,3671900
2021-03-02,147.0,149.0,146.0,148.0,148.0,2506500
2021-03-03,148.0,149.0,147.0,147.0,147.0,3536200
2021-03-04,146.0,150.0,146.0,148.0,148.0,3552300
2021-03-05,148.0,150.0,148.0,148.0,148.0,3443500
2021-03-08,148.0,148.0,145.0,147.0,147.0,3371900
2021-03-09,149.0,149.0,146.0,147.0,147.0,3583800
2021-03-10,147.0,148.0,146.0,147.0,147.0,3759900
2021-03-12,149.0,149.0,145.0,147.0,147.0,3850300
2021-03-15,147.0,147.0,147.0,147.0,147.0,1003100
2021-03-16,147.0,150.0,147.0,150.0,150.0,2077100
2021-03-17,150.0,150.0,146.0,147.0,147.0,2073400
2021-03-18,147.0,149.0,147.0,147.0,147.0,3009900
2021-03-19,146.0,149.0,146.0,147.0,147.0,9300
2021-03-22,146.0,146.0,140.0,140.0,140.0,1793800
2021-03-23,140.0,145.0,140.0,145.0,145.0,2181000
2021-03-24,144.0,145.0,142.0,142.0,142.0,3595200
2021-03-25,144.0,144.0,141.0,141.0,141.0,2015200
2021-03-26,141.0,143.0,141.0,143.0,143.0,3509800
2021-03-29,143.0,144.0,143.0,143.0,143.0,2009200
2021-03-30,141.0,143.0,141.0,142.0,142.0,4199300
2021-03-31,142.0,142.0,140.0,140.0,140.0,2118900
2021-04-01,140.0,140.0,139.0,139.0,139.0,2521400
2021-04-05,138.0,138.0,137.0,137.0,137.0,2159100
2021-04-06,135.0,139.0,135.0,139.0,139.0,2214600
2021-04-07,139.0,139.0,136.0,136.0,136.0,3526200
2021-04-08,138.0,138.0,136.0,137.0,137.0,2261100
2021-04-09,137.0,137.0,136.0,136.0,136.0,2423300
2021-04-12,135.0,138.0,134.0,136.0,136.0,2737900
2021-04-14,135.0,138.0,135.0,137.0,137.0,4238800
