Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,224.0,240.0,224.0,236.0,236.0,3022800
2021-03-02,240.0,240.0,236.0,240.0,240.0,15600
2021-03-03,244.0,244.0,234.0,240.0,240.0,8400
2021-03-04,240.0,244.0,230.0,236.0,236.0,1523200
2021-03-05,236.0,236.0,224.0,226.0,226.0,11700
2021-03-08,226.0,232.0,226.0,230.0,230.0,4700
2021-03-09,230.0,236.0,224.0,236.0,236.0,11600
2021-03-10,234.0,236.0,224.0,224.0,224.0,900
2021-03-12,238.0,238.0,224.0,238.0,238.0,30200
2021-03-15,238.0,244.0,222.0,238.0,238.0,147300
2021-03-16,236.0,236.0,230.0,232.0,232.0,6700
2021-03-17,234.0,238.0,222.0,238.0,238.0,19300
2021-03-18,238.0,238.0,226.0,228.0,228.0,23900
2021-03-19,236.0,238.0,236.0,236.0,236.0,79900
2021-03-22,234.0,240.0,222.0,240.0,240.0,2316200
2021-03-23,240.0,240.0,226.0,236.0,236.0,98700
2021-03-24,234.0,234.0,222.0,222.0,222.0,6300
2021-03-25,222.0,238.0,222.0,232.0,232.0,2407400
2021-03-26,230.0,230.0,222.0,222.0,222.0,21200
2021-03-29,222.0,234.0,212.0,234.0,234.0,70600
2021-03-30,234.0,234.0,220.0,230.0,230.0,84200
2021-03-31,232.0,232.0,222.0,230.0,230.0,67000
2021-04-01,218.0,240.0,218.0,238.0,238.0,3272400
2021-04-05,238.0,240.0,234.0,234.0,234.0,34600
2021-04-06,234.0,240.0,234.0,238.0,238.0,6300
2021-04-07,238.0,250.0,226.0,250.0,250.0,1093100
2021-04-08,250.0,258.0,250.0,258.0,258.0,3071500
2021-04-09,260.0,276.0,242.0,252.0,252.0,4605900
2021-04-12,252.0,254.0,236.0,240.0,240.0,340800
2021-04-14,252.0,256.0,252.0,256.0,256.0,176500
