Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,159.0,169.0,158.0,166.0,166.0,79263600
2021-03-02,166.0,170.0,162.0,162.0,162.0,43839800
2021-03-03,162.0,164.0,160.0,161.0,161.0,26044400
2021-03-04,162.0,162.0,156.0,158.0,158.0,34410000
2021-03-05,158.0,158.0,155.0,155.0,155.0,18654500
2021-03-08,156.0,159.0,155.0,156.0,156.0,14768300
2021-03-09,156.0,159.0,154.0,155.0,155.0,26225100
2021-03-10,157.0,161.0,155.0,158.0,158.0,30945900
2021-03-12,159.0,164.0,158.0,163.0,163.0,50845100
2021-03-15,165.0,165.0,162.0,164.0,164.0,28596300
2021-03-16,164.0,166.0,161.0,164.0,164.0,21709900
2021-03-17,164.0,165.0,162.0,162.0,162.0,15271500
2021-03-18,162.0,162.0,160.0,161.0,161.0,12899300
2021-03-19,161.0,162.0,159.0,160.0,160.0,11317500
2021-03-22,160.0,168.0,158.0,165.0,165.0,130008000
2021-03-23,166.0,167.0,159.0,160.0,160.0,40732100
2021-03-24,160.0,160.0,155.0,155.0,155.0,41453800
2021-03-25,155.0,159.0,153.0,156.0,156.0,23454300
2021-03-26,157.0,158.0,155.0,156.0,156.0,13724600
2021-03-29,156.0,159.0,155.0,156.0,156.0,9232700
2021-03-30,156.0,157.0,151.0,152.0,152.0,17822500
2021-03-31,152.0,154.0,148.0,151.0,151.0,18304200
2021-04-01,152.0,154.0,149.0,150.0,150.0,18765600
2021-04-05,150.0,152.0,148.0,149.0,149.0,16096400
2021-04-06,149.0,150.0,147.0,150.0,150.0,8498500
2021-04-07,151.0,153.0,149.0,152.0,152.0,10865600
2021-04-08,152.0,158.0,152.0,157.0,157.0,20261900
2021-04-09,158.0,159.0,156.0,156.0,156.0,13173300
2021-04-12,156.0,159.0,151.0,153.0,153.0,16228300
2021-04-14,151.0,154.0,151.0,153.0,153.0,5539500
