Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,51.0,53.0,50.0,52.0,52.0,982600
2021-03-02,52.0,54.0,51.0,52.0,52.0,4226400
2021-03-03,53.0,53.0,50.0,51.0,51.0,2987600
2021-03-04,51.0,52.0,50.0,51.0,51.0,1855300
2021-03-05,52.0,64.0,50.0,54.0,54.0,46984200
2021-03-08,56.0,72.0,54.0,58.0,58.0,187446200
2021-03-09,62.0,67.0,58.0,60.0,60.0,57021700
2021-03-10,60.0,62.0,56.0,57.0,57.0,14419400
2021-03-12,57.0,64.0,56.0,60.0,60.0,20048500
2021-03-15,61.0,61.0,57.0,58.0,58.0,5061900
2021-03-16,58.0,58.0,56.0,57.0,57.0,3984500
2021-03-17,58.0,61.0,57.0,60.0,60.0,7265100
2021-03-18,60.0,60.0,58.0,58.0,58.0,5111200
2021-03-19,58.0,58.0,56.0,58.0,58.0,6832200
2021-03-22,58.0,66.0,56.0,59.0,59.0,52906700
2021-03-23,59.0,63.0,58.0,59.0,59.0,7651100
2021-03-24,59.0,60.0,57.0,57.0,57.0,4317500
2021-03-25,58.0,58.0,56.0,57.0,57.0,4310600
2021-03-26,57.0,58.0,54.0,55.0,55.0,9208200
2021-03-29,55.0,57.0,55.0,56.0,56.0,2669500
2021-03-30,57.0,57.0,54.0,54.0,54.0,3751300
2021-03-31,54.0,55.0,53.0,53.0,53.0,1810900
2021-04-01,53.0,59.0,52.0,56.0,56.0,29998200
2021-04-05,56.0,56.0,54.0,55.0,55.0,4606300
2021-04-06,56.0,57.0,55.0,55.0,55.0,2146000
2021-04-07,55.0,56.0,54.0,55.0,55.0,2316400
2021-04-08,55.0,61.0,54.0,57.0,57.0,37203000
2021-04-09,57.0,59.0,56.0,56.0,56.0,5211200
2021-04-12,56.0,58.0,56.0,57.0,57.0,4373000
2021-04-14,63.0,64.0,58.0,59.0,59.0,24102600
