Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1340.0,1400.0,1320.0,1390.0,1390.0,4498800
2021-03-02,1390.0,1415.0,1360.0,1365.0,1365.0,1478700
2021-03-03,1370.0,1385.0,1355.0,1365.0,1365.0,621700
2021-03-04,1370.0,1375.0,1325.0,1330.0,1330.0,1088300
2021-03-05,1320.0,1320.0,1260.0,1265.0,1265.0,3518300
2021-03-08,1270.0,1310.0,1265.0,1300.0,1300.0,1577400
2021-03-09,1280.0,1310.0,1280.0,1285.0,1285.0,1037700
2021-03-10,1300.0,1385.0,1300.0,1360.0,1360.0,3874200
2021-03-12,1365.0,1465.0,1360.0,1405.0,1405.0,8471600
2021-03-15,1420.0,1485.0,1405.0,1465.0,1465.0,5155000
2021-03-16,1475.0,1590.0,1465.0,1495.0,1495.0,23176300
2021-03-17,1505.0,1515.0,1420.0,1425.0,1425.0,3516200
2021-03-18,1425.0,1440.0,1400.0,1400.0,1400.0,2029900
2021-03-19,1395.0,1440.0,1375.0,1400.0,1400.0,3581600
2021-03-22,1395.0,1440.0,1385.0,1400.0,1400.0,1716000
2021-03-23,1400.0,1430.0,1345.0,1345.0,1345.0,1806100
2021-03-24,1345.0,1350.0,1285.0,1325.0,1325.0,4371900
2021-03-25,1325.0,1355.0,1280.0,1305.0,1305.0,1678200
2021-03-26,1305.0,1420.0,1300.0,1335.0,1335.0,3340000
2021-03-29,1350.0,1415.0,1335.0,1345.0,1345.0,2824500
2021-03-30,1350.0,1350.0,1305.0,1315.0,1315.0,1045200
2021-03-31,1280.0,1325.0,1265.0,1290.0,1290.0,3333700
2021-04-01,1300.0,1305.0,1280.0,1280.0,1280.0,1204400
2021-04-05,1290.0,1315.0,1255.0,1260.0,1260.0,1910900
2021-04-06,1260.0,1350.0,1260.0,1345.0,1345.0,2935300
2021-04-07,1345.0,1345.0,1310.0,1330.0,1330.0,695600
2021-04-08,1330.0,1345.0,1310.0,1335.0,1335.0,628900
2021-04-09,1335.0,1345.0,1295.0,1310.0,1310.0,1582500
2021-04-12,1310.0,1350.0,1290.0,1290.0,1290.0,752700
2021-04-14,1285.0,1325.0,1285.0,1290.0,1290.0,798000
