Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,51.0,51.0,50.0,50.0,50.0,46200
2021-03-02,50.0,53.0,50.0,50.0,50.0,160900
2021-03-03,50.0,51.0,50.0,51.0,51.0,80300
2021-03-04,51.0,52.0,51.0,51.0,51.0,51000
2021-03-05,51.0,52.0,50.0,50.0,50.0,613300
2021-03-08,50.0,50.0,50.0,50.0,50.0,71100
2021-03-09,50.0,52.0,50.0,50.0,50.0,289800
2021-03-10,50.0,50.0,50.0,50.0,50.0,100900
2021-03-12,50.0,51.0,50.0,50.0,50.0,58000
2021-03-15,50.0,50.0,50.0,50.0,50.0,1400
2021-03-16,51.0,51.0,50.0,50.0,50.0,417300
2021-03-17,51.0,51.0,50.0,50.0,50.0,169100
2021-03-18,51.0,51.0,50.0,51.0,51.0,783400
2021-03-19,51.0,51.0,50.0,51.0,51.0,90900
2021-03-22,51.0,52.0,50.0,51.0,51.0,143900
2021-03-23,51.0,51.0,50.0,51.0,51.0,150300
2021-03-24,50.0,51.0,50.0,51.0,51.0,107500
2021-03-25,51.0,51.0,50.0,50.0,50.0,86100
2021-03-26,50.0,51.0,50.0,51.0,51.0,107000
2021-03-29,51.0,51.0,50.0,51.0,51.0,100800
2021-03-30,51.0,51.0,50.0,50.0,50.0,95300
2021-03-31,50.0,51.0,50.0,50.0,50.0,51200
2021-04-01,50.0,51.0,50.0,51.0,51.0,1100
2021-04-05,51.0,51.0,50.0,50.0,50.0,3600
2021-04-06,51.0,51.0,50.0,51.0,51.0,40600
2021-04-07,51.0,51.0,50.0,50.0,50.0,575300
2021-04-08,51.0,54.0,50.0,52.0,52.0,878000
2021-04-09,52.0,55.0,52.0,53.0,53.0,720700
2021-04-12,54.0,54.0,51.0,51.0,51.0,288700
2021-04-14,51.0,53.0,50.0,52.0,52.0,72000
