Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,51.0,52.0,50.0,50.0,50.0,181666200
2021-03-02,51.0,53.0,50.0,53.0,53.0,262968700
2021-03-03,53.0,57.0,53.0,54.0,54.0,389690500
2021-03-04,54.0,55.0,51.0,52.0,52.0,125994500
2021-03-05,51.0,52.0,50.0,50.0,50.0,372776500
2021-03-08,50.0,51.0,50.0,50.0,50.0,253823500
2021-03-09,50.0,50.0,50.0,50.0,50.0,104437300
2021-03-10,50.0,52.0,50.0,50.0,50.0,465001800
2021-03-12,50.0,51.0,50.0,50.0,50.0,81163000
2021-03-15,50.0,51.0,50.0,50.0,50.0,57412000
2021-03-16,50.0,50.0,50.0,50.0,50.0,28572000
2021-03-17,50.0,50.0,50.0,50.0,50.0,10647100
2021-03-18,50.0,50.0,50.0,50.0,50.0,7990600
2021-03-19,50.0,50.0,50.0,50.0,50.0,23274400
2021-03-22,50.0,50.0,50.0,50.0,50.0,9041400
2021-03-23,50.0,50.0,50.0,50.0,50.0,10999400
2021-03-24,50.0,51.0,50.0,50.0,50.0,117397300
2021-03-25,50.0,50.0,50.0,50.0,50.0,64417700
2021-03-26,50.0,50.0,50.0,50.0,50.0,15015600
2021-03-29,50.0,53.0,50.0,52.0,52.0,360134400
2021-03-30,53.0,53.0,50.0,50.0,50.0,193301200
2021-03-31,50.0,51.0,50.0,50.0,50.0,168076200
2021-04-01,50.0,51.0,50.0,50.0,50.0,14802800
2021-04-05,50.0,51.0,50.0,50.0,50.0,29013400
2021-04-06,50.0,51.0,50.0,51.0,51.0,85172600
2021-04-07,50.0,52.0,50.0,51.0,51.0,100475400
2021-04-08,51.0,52.0,50.0,50.0,50.0,101817300
2021-04-09,51.0,51.0,50.0,51.0,51.0,40387200
2021-04-12,51.0,51.0,50.0,50.0,50.0,58359500
2021-04-14,51.0,51.0,50.0,51.0,51.0,44619600
