Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,15600
2021-03-02,50.0,50.0,50.0,50.0,50.0,19500
2021-03-03,50.0,50.0,50.0,50.0,50.0,37700
2021-03-04,50.0,50.0,50.0,50.0,50.0,16900
2021-03-05,50.0,50.0,50.0,50.0,50.0,19300
2021-03-08,50.0,50.0,50.0,50.0,50.0,328400
2021-03-09,50.0,50.0,50.0,50.0,50.0,25300
2021-03-10,50.0,50.0,50.0,50.0,50.0,8700
2021-03-12,50.0,50.0,50.0,50.0,50.0,7200
2021-03-15,50.0,50.0,50.0,50.0,50.0,3703600
2021-03-16,50.0,50.0,50.0,50.0,50.0,31600
2021-03-17,50.0,50.0,50.0,50.0,50.0,1600
2021-03-18,50.0,50.0,50.0,50.0,50.0,2421000
2021-03-19,50.0,50.0,50.0,50.0,50.0,25500
2021-03-22,50.0,50.0,50.0,50.0,50.0,10000
2021-03-23,50.0,50.0,50.0,50.0,50.0,0
2021-03-24,50.0,50.0,50.0,50.0,50.0,51600
2021-03-25,50.0,50.0,50.0,50.0,50.0,21000
2021-03-26,50.0,50.0,50.0,50.0,50.0,20500
2021-03-29,50.0,50.0,50.0,50.0,50.0,19700
2021-03-30,50.0,50.0,50.0,50.0,50.0,11300
2021-03-31,50.0,50.0,50.0,50.0,50.0,700
2021-04-01,50.0,50.0,50.0,50.0,50.0,121400
2021-04-05,50.0,50.0,50.0,50.0,50.0,900
2021-04-06,50.0,50.0,50.0,50.0,50.0,1600
2021-04-07,50.0,50.0,50.0,50.0,50.0,700
2021-04-08,50.0,50.0,50.0,50.0,50.0,182300
2021-04-09,50.0,50.0,50.0,50.0,50.0,22100
2021-04-12,50.0,50.0,50.0,50.0,50.0,100
2021-04-14,50.0,50.0,50.0,50.0,50.0,800
