Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,690.0,690.0,685.0,685.0,685.0,125100
2021-03-02,690.0,695.0,680.0,685.0,685.0,181800
2021-03-03,680.0,685.0,680.0,685.0,685.0,146500
2021-03-04,685.0,685.0,675.0,685.0,685.0,130000
2021-03-05,685.0,685.0,675.0,675.0,675.0,95800
2021-03-08,680.0,680.0,670.0,680.0,680.0,148500
2021-03-09,675.0,685.0,675.0,685.0,685.0,179600
2021-03-10,680.0,700.0,680.0,695.0,695.0,300200
2021-03-12,700.0,715.0,695.0,695.0,695.0,261900
2021-03-15,695.0,700.0,690.0,690.0,690.0,166700
2021-03-16,690.0,695.0,685.0,690.0,690.0,184300
2021-03-17,690.0,695.0,685.0,695.0,695.0,162200
2021-03-18,690.0,700.0,690.0,695.0,695.0,107000
2021-03-19,690.0,695.0,685.0,685.0,685.0,173200
2021-03-22,690.0,690.0,675.0,680.0,680.0,135700
2021-03-23,680.0,685.0,675.0,680.0,680.0,147900
2021-03-24,680.0,680.0,670.0,675.0,675.0,101400
2021-03-25,675.0,680.0,670.0,680.0,680.0,150000
2021-03-26,680.0,685.0,680.0,685.0,685.0,173000
2021-03-29,685.0,695.0,685.0,685.0,685.0,211300
2021-03-30,685.0,690.0,675.0,675.0,675.0,110800
2021-03-31,675.0,680.0,670.0,675.0,675.0,149900
2021-04-01,675.0,685.0,675.0,680.0,680.0,101000
2021-04-05,680.0,685.0,680.0,680.0,680.0,92700
2021-04-06,680.0,690.0,680.0,690.0,690.0,120600
2021-04-07,690.0,695.0,685.0,690.0,690.0,86200
2021-04-08,690.0,695.0,685.0,695.0,695.0,148800
2021-04-09,690.0,695.0,685.0,685.0,685.0,60400
2021-04-12,690.0,690.0,680.0,680.0,680.0,156800
2021-04-14,685.0,690.0,680.0,690.0,690.0,142500
