Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,77.0,79.0,77.0,79.0,79.0,81200
2021-03-02,79.0,82.0,79.0,81.0,81.0,89800
2021-03-03,81.0,81.0,76.0,80.0,80.0,48900
2021-03-04,80.0,82.0,78.0,78.0,78.0,21800
2021-03-05,78.0,81.0,78.0,79.0,79.0,20700
2021-03-08,79.0,83.0,79.0,80.0,80.0,91300
2021-03-09,81.0,83.0,77.0,81.0,81.0,273900
2021-03-10,81.0,82.0,80.0,80.0,80.0,203700
2021-03-12,80.0,80.0,77.0,80.0,80.0,8400
2021-03-15,80.0,80.0,78.0,78.0,78.0,18500
2021-03-16,78.0,78.0,78.0,78.0,78.0,32100
2021-03-17,76.0,80.0,76.0,80.0,80.0,40500
2021-03-18,78.0,80.0,75.0,79.0,79.0,23000
2021-03-19,79.0,79.0,76.0,78.0,78.0,122400
2021-03-22,79.0,94.0,78.0,87.0,87.0,5624000
2021-03-23,87.0,117.0,81.0,87.0,87.0,21137800
2021-03-24,87.0,108.0,86.0,95.0,95.0,18874000
2021-03-25,98.0,105.0,92.0,93.0,93.0,8286000
2021-03-26,94.0,99.0,93.0,95.0,95.0,5275100
2021-03-29,97.0,125.0,89.0,125.0,125.0,62309200
2021-03-30,129.0,135.0,117.0,117.0,117.0,15100200
2021-03-31,117.0,117.0,109.0,114.0,114.0,2045500
2021-04-01,115.0,128.0,107.0,115.0,115.0,16461100
2021-04-05,118.0,122.0,115.0,115.0,115.0,6923700
2021-04-06,115.0,116.0,107.0,109.0,109.0,3095100
2021-04-07,109.0,113.0,102.0,103.0,103.0,1924100
2021-04-08,102.0,110.0,99.0,100.0,100.0,1931400
2021-04-09,103.0,113.0,103.0,110.0,110.0,8735100
2021-04-12,111.0,111.0,103.0,110.0,110.0,3474200
2021-04-14,110.0,115.0,106.0,110.0,110.0,2833800
