Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,650.0,750.0,650.0,705.0,705.0,7500
2021-03-02,705.0,730.0,670.0,700.0,700.0,9300
2021-03-03,730.0,840.0,695.0,820.0,820.0,57100
2021-03-04,820.0,1025.0,820.0,1025.0,1025.0,159200
2021-03-05,1075.0,1280.0,1075.0,1280.0,1280.0,174200
2021-03-08,1370.0,1430.0,1195.0,1195.0,1195.0,87200
2021-03-09,1195.0,1195.0,1195.0,1195.0,1195.0,0
2021-03-10,1115.0,1115.0,1115.0,1115.0,1115.0,300
2021-03-12,1040.0,1040.0,1040.0,1040.0,1040.0,400
2021-03-15,990.0,990.0,970.0,970.0,970.0,2600
2021-03-16,905.0,905.0,905.0,905.0,905.0,2300
2021-03-17,845.0,845.0,845.0,845.0,845.0,5000
2021-03-18,790.0,845.0,790.0,835.0,835.0,73100
2021-03-19,835.0,850.0,780.0,780.0,780.0,51000
2021-03-22,730.0,770.0,730.0,770.0,770.0,41400
2021-03-23,720.0,750.0,720.0,720.0,720.0,19000
2021-03-24,720.0,775.0,685.0,775.0,775.0,14400
2021-03-25,775.0,780.0,725.0,760.0,760.0,24400
2021-03-26,745.0,820.0,710.0,710.0,710.0,60300
2021-03-29,710.0,790.0,710.0,715.0,715.0,13600
2021-03-30,700.0,780.0,700.0,750.0,750.0,8600
2021-03-31,705.0,745.0,705.0,705.0,705.0,7500
2021-04-01,705.0,765.0,705.0,705.0,705.0,8300
2021-04-05,740.0,755.0,705.0,720.0,720.0,10400
2021-04-06,725.0,730.0,725.0,730.0,730.0,3700
2021-04-07,730.0,730.0,730.0,730.0,730.0,900
2021-04-08,685.0,750.0,685.0,730.0,730.0,4000
2021-04-09,730.0,775.0,700.0,700.0,700.0,3300
2021-04-12,705.0,705.0,705.0,705.0,705.0,800
2021-04-14,705.0,705.0,700.0,700.0,700.0,500
