Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,119.0,122.0,117.0,119.0,119.0,8032500
2021-03-02,118.0,122.0,118.0,122.0,122.0,17802200
2021-03-03,124.0,124.0,118.0,119.0,119.0,20985400
2021-03-04,121.0,121.0,115.0,117.0,117.0,11798900
2021-03-05,116.0,117.0,111.0,113.0,113.0,9638800
2021-03-08,113.0,116.0,110.0,113.0,113.0,7168500
2021-03-09,108.0,114.0,108.0,111.0,111.0,5789700
2021-03-10,105.0,117.0,105.0,112.0,112.0,18845400
2021-03-12,112.0,121.0,111.0,114.0,114.0,72993800
2021-03-15,108.0,117.0,108.0,115.0,115.0,11188400
2021-03-16,115.0,119.0,111.0,114.0,114.0,12008200
2021-03-17,113.0,118.0,113.0,114.0,114.0,6047300
2021-03-18,110.0,118.0,110.0,118.0,118.0,25905000
2021-03-19,118.0,118.0,114.0,116.0,116.0,14527300
2021-03-22,116.0,122.0,116.0,118.0,118.0,38385800
2021-03-23,119.0,132.0,119.0,122.0,122.0,122251900
2021-03-24,121.0,123.0,114.0,114.0,114.0,29482400
2021-03-25,107.0,116.0,107.0,110.0,110.0,13087500
2021-03-26,103.0,115.0,103.0,113.0,113.0,9833800
2021-03-29,114.0,115.0,110.0,111.0,111.0,6261000
2021-03-30,110.0,113.0,107.0,107.0,107.0,6935400
2021-03-31,113.0,113.0,102.0,104.0,104.0,5868200
2021-04-01,102.0,108.0,102.0,105.0,105.0,3890900
2021-04-05,102.0,106.0,101.0,104.0,104.0,5646300
2021-04-06,104.0,105.0,102.0,104.0,104.0,2731800
2021-04-07,102.0,107.0,102.0,105.0,105.0,2825600
2021-04-08,103.0,108.0,103.0,108.0,108.0,5458500
2021-04-09,108.0,111.0,107.0,107.0,107.0,8756300
2021-04-12,107.0,107.0,103.0,103.0,103.0,4441700
2021-04-14,103.0,106.0,102.0,103.0,103.0,5300000
