Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,885.0,900.0,870.0,880.0,880.0,34000
2021-03-02,890.0,890.0,885.0,885.0,885.0,12200
2021-03-03,880.0,900.0,825.0,900.0,900.0,18900
2021-03-04,900.0,900.0,890.0,890.0,890.0,15300
2021-03-05,890.0,900.0,865.0,865.0,865.0,10700
2021-03-08,865.0,865.0,860.0,860.0,860.0,21700
2021-03-09,860.0,860.0,860.0,860.0,860.0,8400
2021-03-10,860.0,890.0,800.0,850.0,850.0,9200
2021-03-12,855.0,1000.0,850.0,900.0,900.0,127700
2021-03-15,900.0,900.0,875.0,875.0,875.0,29700
2021-03-16,895.0,895.0,875.0,875.0,875.0,10800
2021-03-17,855.0,895.0,855.0,880.0,880.0,5100
2021-03-18,855.0,895.0,855.0,885.0,885.0,26400
2021-03-19,885.0,885.0,860.0,860.0,860.0,6000
2021-03-22,860.0,875.0,860.0,870.0,870.0,5200
2021-03-23,875.0,875.0,870.0,870.0,870.0,1500
2021-03-24,875.0,880.0,860.0,860.0,860.0,17200
2021-03-25,860.0,890.0,860.0,880.0,880.0,4800
2021-03-26,860.0,870.0,860.0,870.0,870.0,16900
2021-03-29,880.0,930.0,880.0,880.0,880.0,61700
2021-03-30,880.0,885.0,870.0,875.0,875.0,24500
2021-03-31,875.0,875.0,865.0,865.0,865.0,12900
2021-04-01,865.0,890.0,865.0,875.0,875.0,9800
2021-04-05,885.0,930.0,875.0,930.0,930.0,136400
2021-04-06,935.0,970.0,920.0,925.0,925.0,72400
2021-04-07,925.0,925.0,870.0,915.0,915.0,27800
2021-04-08,915.0,930.0,865.0,910.0,910.0,116900
2021-04-09,910.0,910.0,905.0,910.0,910.0,300
2021-04-12,880.0,930.0,880.0,915.0,915.0,15200
2021-04-14,950.0,950.0,930.0,950.0,950.0,20200
