Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,244.0,246.0,238.0,244.0,244.0,1686600
2021-03-02,244.0,256.0,242.0,248.0,248.0,6842500
2021-03-03,238.0,250.0,238.0,246.0,246.0,1994000
2021-03-04,244.0,246.0,240.0,244.0,244.0,2062300
2021-03-05,244.0,248.0,242.0,242.0,242.0,2096700
2021-03-08,244.0,252.0,242.0,246.0,246.0,3671000
2021-03-09,240.0,248.0,240.0,242.0,242.0,1971400
2021-03-10,230.0,242.0,230.0,240.0,240.0,1561800
2021-03-12,228.0,268.0,228.0,240.0,240.0,15842300
2021-03-15,242.0,266.0,240.0,246.0,246.0,19748900
2021-03-16,248.0,248.0,242.0,244.0,244.0,2431300
2021-03-17,242.0,248.0,242.0,244.0,244.0,1306900
2021-03-18,244.0,246.0,242.0,242.0,242.0,1847400
2021-03-19,242.0,256.0,240.0,246.0,246.0,6546600
2021-03-22,248.0,250.0,244.0,246.0,246.0,1362000
2021-03-23,246.0,246.0,242.0,242.0,242.0,1367500
2021-03-24,242.0,246.0,242.0,242.0,242.0,1834100
2021-03-25,242.0,246.0,240.0,244.0,244.0,1433100
2021-03-26,244.0,244.0,242.0,244.0,244.0,851700
2021-03-29,244.0,254.0,242.0,242.0,242.0,4104800
2021-03-30,244.0,246.0,236.0,238.0,238.0,3338900
2021-03-31,236.0,238.0,230.0,234.0,234.0,2550200
2021-04-01,234.0,236.0,232.0,234.0,234.0,505900
2021-04-05,234.0,236.0,230.0,232.0,232.0,1013500
2021-04-06,234.0,236.0,232.0,236.0,236.0,579200
2021-04-07,236.0,238.0,234.0,236.0,236.0,648600
2021-04-08,236.0,242.0,236.0,236.0,236.0,1418100
2021-04-09,236.0,240.0,236.0,238.0,238.0,339200
2021-04-12,238.0,240.0,234.0,234.0,234.0,942100
2021-04-14,234.0,236.0,232.0,234.0,234.0,456100
