Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,462.0,462.0,462.0,462.0,462.0,200
2021-03-02,462.0,462.0,446.0,460.0,460.0,2235900
2021-03-03,460.0,460.0,442.0,460.0,460.0,2387300
2021-03-04,460.0,460.0,456.0,460.0,460.0,2252600
2021-03-05,460.0,460.0,456.0,456.0,456.0,320500
2021-03-08,456.0,460.0,440.0,460.0,460.0,1100
2021-03-09,460.0,466.0,456.0,466.0,466.0,2417300
2021-03-10,486.0,580.0,466.0,510.0,510.0,7547400
2021-03-12,525.0,635.0,525.0,635.0,635.0,9738600
2021-03-15,685.0,685.0,595.0,595.0,595.0,1035200
2021-03-16,555.0,555.0,555.0,555.0,555.0,62000
2021-03-17,520.0,520.0,520.0,520.0,520.0,91900
2021-03-18,484.0,484.0,484.0,484.0,484.0,226400
2021-03-19,452.0,452.0,452.0,452.0,452.0,63600
2021-03-22,452.0,496.0,422.0,438.0,438.0,737100
2021-03-23,458.0,458.0,408.0,408.0,408.0,279500
2021-03-24,404.0,416.0,380.0,398.0,398.0,96500
2021-03-25,388.0,424.0,372.0,372.0,372.0,242900
2021-03-26,372.0,372.0,346.0,346.0,346.0,67100
2021-03-29,322.0,380.0,322.0,322.0,322.0,6056700
2021-03-30,322.0,322.0,300.0,300.0,300.0,69700
2021-03-31,280.0,280.0,280.0,280.0,280.0,28700
2021-04-01,270.0,270.0,262.0,262.0,262.0,287000
2021-04-05,244.0,246.0,244.0,244.0,244.0,111400
2021-04-06,228.0,300.0,228.0,228.0,228.0,13435100
2021-04-07,214.0,214.0,214.0,214.0,214.0,46300
2021-04-08,202.0,202.0,200.0,200.0,200.0,216600
2021-04-09,195.0,196.0,186.0,186.0,186.0,2979800
2021-04-12,186.0,186.0,173.0,173.0,173.0,1422200
2021-04-14,150.0,150.0,150.0,150.0,150.0,403200
