Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1840.0,1850.0,1830.0,1840.0,1840.0,91600
2021-03-02,1850.0,1850.0,1840.0,1840.0,1840.0,44300
2021-03-03,1840.0,1850.0,1825.0,1850.0,1850.0,47800
2021-03-04,1860.0,1860.0,1840.0,1840.0,1840.0,16700
2021-03-05,1855.0,1855.0,1800.0,1830.0,1830.0,26300
2021-03-08,1835.0,1850.0,1825.0,1840.0,1840.0,15000
2021-03-09,1850.0,1850.0,1800.0,1830.0,1830.0,107400
2021-03-10,1805.0,1900.0,1805.0,1860.0,1860.0,35100
2021-03-12,1860.0,1895.0,1845.0,1850.0,1850.0,88900
2021-03-15,1860.0,1870.0,1830.0,1840.0,1840.0,9500
2021-03-16,1840.0,1895.0,1840.0,1855.0,1855.0,13500
2021-03-17,1855.0,1895.0,1850.0,1850.0,1850.0,27800
2021-03-18,1865.0,1895.0,1850.0,1860.0,1860.0,9000
2021-03-19,1860.0,1895.0,1855.0,1865.0,1865.0,17800
2021-03-22,1865.0,1890.0,1865.0,1865.0,1865.0,13000
2021-03-23,1890.0,1890.0,1860.0,1860.0,1860.0,38100
2021-03-24,1885.0,1885.0,1835.0,1855.0,1855.0,16700
2021-03-25,1855.0,1870.0,1845.0,1865.0,1865.0,40400
2021-03-26,1855.0,1880.0,1855.0,1880.0,1880.0,18600
2021-03-29,1860.0,1880.0,1840.0,1870.0,1870.0,15400
2021-03-30,1870.0,1870.0,1850.0,1855.0,1855.0,26900
2021-03-31,1855.0,1860.0,1830.0,1850.0,1850.0,28700
2021-04-01,1850.0,1880.0,1820.0,1875.0,1875.0,294800
2021-04-05,1875.0,1885.0,1820.0,1840.0,1840.0,113200
2021-04-06,1840.0,1870.0,1820.0,1830.0,1830.0,102400
2021-04-07,1835.0,1850.0,1830.0,1850.0,1850.0,42700
2021-04-08,1850.0,1850.0,1820.0,1850.0,1850.0,141300
2021-04-09,1850.0,1850.0,1845.0,1850.0,1850.0,99400
2021-04-12,1855.0,1855.0,1830.0,1830.0,1830.0,20400
2021-04-14,1855.0,1865.0,1850.0,1850.0,1850.0,81800
