Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,240.0,258.0,228.0,252.0,252.0,24800
2021-03-02,248.0,248.0,236.0,242.0,242.0,2000
2021-03-03,242.0,242.0,226.0,228.0,228.0,11200
2021-03-04,234.0,248.0,234.0,240.0,240.0,3000
2021-03-05,246.0,246.0,240.0,240.0,240.0,3900
2021-03-08,240.0,240.0,240.0,240.0,240.0,200
2021-03-09,240.0,252.0,224.0,252.0,252.0,8500
2021-03-10,250.0,252.0,250.0,250.0,250.0,10300
2021-03-12,240.0,240.0,236.0,236.0,236.0,2200
2021-03-15,250.0,250.0,236.0,240.0,240.0,15200
2021-03-16,240.0,248.0,240.0,248.0,248.0,5700
2021-03-17,248.0,248.0,248.0,248.0,248.0,0
2021-03-18,248.0,248.0,248.0,248.0,248.0,500
2021-03-19,248.0,248.0,248.0,248.0,248.0,600
2021-03-22,238.0,246.0,238.0,246.0,246.0,1200
2021-03-23,256.0,256.0,248.0,248.0,248.0,2600
2021-03-24,246.0,246.0,232.0,232.0,232.0,800
2021-03-25,232.0,232.0,218.0,230.0,230.0,2800
2021-03-26,246.0,246.0,234.0,244.0,244.0,45000
2021-03-29,244.0,244.0,230.0,238.0,238.0,19000
2021-03-30,238.0,254.0,230.0,230.0,230.0,6800
2021-03-31,230.0,248.0,230.0,240.0,240.0,13300
2021-04-01,240.0,248.0,238.0,238.0,238.0,11700
2021-04-05,230.0,244.0,230.0,232.0,232.0,1500
2021-04-06,232.0,248.0,230.0,230.0,230.0,6100
2021-04-07,230.0,254.0,222.0,232.0,232.0,11700
2021-04-08,232.0,248.0,228.0,248.0,248.0,23100
2021-04-09,236.0,244.0,236.0,236.0,236.0,23400
2021-04-12,234.0,254.0,234.0,238.0,238.0,11000
2021-04-14,230.0,234.0,224.0,226.0,226.0,7400
