Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,222.0,222.0,208.0,216.0,216.0,43700
2021-03-02,236.0,236.0,210.0,218.0,218.0,38000
2021-03-03,236.0,236.0,208.0,208.0,208.0,14500
2021-03-04,228.0,228.0,208.0,214.0,214.0,70200
2021-03-05,234.0,234.0,200.0,216.0,216.0,95400
2021-03-08,214.0,220.0,208.0,210.0,210.0,11100
2021-03-09,210.0,216.0,196.0,216.0,216.0,27800
2021-03-10,218.0,218.0,208.0,210.0,210.0,52100
2021-03-12,230.0,230.0,196.0,208.0,208.0,4400
2021-03-15,218.0,218.0,194.0,206.0,206.0,79100
2021-03-16,212.0,212.0,206.0,206.0,206.0,58600
2021-03-17,226.0,226.0,200.0,200.0,200.0,104200
2021-03-18,220.0,220.0,200.0,202.0,202.0,37300
2021-03-19,222.0,222.0,198.0,202.0,202.0,19400
2021-03-22,222.0,222.0,188.0,193.0,193.0,83400
2021-03-23,202.0,202.0,193.0,197.0,197.0,56100
2021-03-24,206.0,206.0,186.0,192.0,192.0,4200
2021-03-25,200.0,200.0,180.0,184.0,184.0,17600
2021-03-26,204.0,204.0,172.0,172.0,172.0,45500
2021-03-29,182.0,182.0,179.0,179.0,179.0,11600
2021-03-30,189.0,190.0,177.0,180.0,180.0,35900
2021-03-31,190.0,190.0,170.0,170.0,170.0,6200
2021-04-01,180.0,180.0,159.0,159.0,159.0,83700
2021-04-05,169.0,169.0,148.0,156.0,156.0,32700
2021-04-06,166.0,166.0,148.0,151.0,151.0,6800
2021-04-07,161.0,161.0,141.0,142.0,142.0,93100
2021-04-08,152.0,191.0,148.0,191.0,191.0,303600
2021-04-09,238.0,256.0,238.0,256.0,256.0,2918200
2021-04-12,254.0,256.0,240.0,240.0,240.0,457200
2021-04-14,224.0,248.0,210.0,230.0,230.0,444300
