Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,830.0,850.0,815.0,835.0,835.0,79900
2021-03-02,835.0,850.0,825.0,840.0,840.0,109900
2021-03-03,840.0,845.0,835.0,840.0,840.0,24900
2021-03-04,840.0,845.0,830.0,840.0,840.0,22200
2021-03-05,840.0,840.0,820.0,830.0,830.0,27800
2021-03-08,830.0,840.0,825.0,825.0,825.0,8500
2021-03-09,825.0,835.0,815.0,825.0,825.0,44800
2021-03-10,825.0,835.0,825.0,830.0,830.0,28200
2021-03-12,830.0,880.0,825.0,880.0,880.0,394300
2021-03-15,885.0,890.0,850.0,875.0,875.0,54300
2021-03-16,875.0,880.0,865.0,865.0,865.0,21500
2021-03-17,865.0,885.0,860.0,870.0,870.0,29600
2021-03-18,870.0,880.0,870.0,870.0,870.0,17200
2021-03-19,875.0,875.0,855.0,870.0,870.0,22200
2021-03-22,865.0,890.0,865.0,880.0,880.0,28400
2021-03-23,880.0,880.0,855.0,865.0,865.0,78500
2021-03-24,865.0,875.0,850.0,855.0,855.0,22900
2021-03-25,860.0,860.0,830.0,840.0,840.0,87200
2021-03-26,840.0,840.0,830.0,835.0,835.0,47800
2021-03-29,835.0,865.0,820.0,840.0,840.0,50100
2021-03-30,840.0,850.0,825.0,825.0,825.0,44400
2021-03-31,830.0,835.0,810.0,815.0,815.0,98500
2021-04-01,815.0,835.0,815.0,835.0,835.0,23000
2021-04-05,835.0,835.0,820.0,835.0,835.0,95300
2021-04-06,835.0,835.0,815.0,835.0,835.0,210200
2021-04-07,835.0,835.0,820.0,835.0,835.0,26300
2021-04-08,840.0,845.0,825.0,835.0,835.0,14200
2021-04-09,835.0,840.0,820.0,830.0,830.0,54800
2021-04-12,830.0,840.0,815.0,820.0,820.0,33400
2021-04-14,825.0,835.0,815.0,825.0,825.0,64600
