Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1575.0,1580.0,1560.0,1580.0,1580.0,151300
2021-03-02,1585.0,1605.0,1580.0,1600.0,1600.0,1686700
2021-03-03,1620.0,1685.0,1595.0,1645.0,1645.0,566600
2021-03-04,1650.0,1750.0,1645.0,1750.0,1750.0,740700
2021-03-05,1750.0,1825.0,1680.0,1825.0,1825.0,691100
2021-03-08,1830.0,1840.0,1770.0,1770.0,1770.0,457700
2021-03-09,1775.0,1850.0,1700.0,1805.0,1805.0,405900
2021-03-10,1805.0,1840.0,1805.0,1830.0,1830.0,632800
2021-03-12,1830.0,1845.0,1780.0,1800.0,1800.0,331600
2021-03-15,1800.0,1885.0,1790.0,1870.0,1870.0,367600
2021-03-16,1860.0,1900.0,1800.0,1900.0,1900.0,493900
2021-03-17,1900.0,1965.0,1895.0,1960.0,1960.0,648500
2021-03-18,1965.0,1980.0,1950.0,1980.0,1980.0,155000
2021-03-19,1980.0,2050.0,1980.0,2020.0,2020.0,386200
2021-03-22,2020.0,2050.0,1970.0,2050.0,2050.0,273200
2021-03-23,2050.0,2050.0,1950.0,2040.0,2040.0,203000
2021-03-24,2040.0,2040.0,1970.0,2010.0,2010.0,545700
2021-03-25,2010.0,2020.0,1980.0,2000.0,2000.0,1499600
2021-03-26,1995.0,2080.0,1990.0,2080.0,2080.0,1223900
2021-03-29,2080.0,2080.0,1990.0,2000.0,2000.0,380700
2021-03-30,2000.0,2010.0,1990.0,2000.0,2000.0,389700
2021-03-31,2000.0,2010.0,1980.0,2010.0,2010.0,536200
2021-04-01,2000.0,2000.0,1990.0,2000.0,2000.0,28300
2021-04-05,2000.0,2010.0,1950.0,2010.0,2010.0,124000
2021-04-06,2010.0,2010.0,1985.0,2000.0,2000.0,513700
2021-04-07,1985.0,2010.0,1985.0,2000.0,2000.0,646800
2021-04-08,2000.0,2010.0,1990.0,2000.0,2000.0,722400
2021-04-09,1990.0,2010.0,1990.0,2010.0,2010.0,247500
2021-04-12,2000.0,2000.0,1970.0,1980.0,1980.0,271600
2021-04-14,1980.0,2000.0,1970.0,1990.0,1990.0,33100
