Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,284.0,284.0,266.0,272.0,272.0,869800
2021-03-02,274.0,280.0,256.0,262.0,262.0,954600
2021-03-03,262.0,280.0,248.0,248.0,248.0,741600
2021-03-04,248.0,264.0,248.0,260.0,260.0,518500
2021-03-05,260.0,270.0,248.0,270.0,270.0,557700
2021-03-08,282.0,320.0,270.0,282.0,282.0,8664200
2021-03-09,282.0,288.0,268.0,270.0,270.0,2421500
2021-03-10,276.0,276.0,256.0,260.0,260.0,1607500
2021-03-12,262.0,264.0,254.0,262.0,262.0,435200
2021-03-15,262.0,266.0,258.0,264.0,264.0,334000
2021-03-16,264.0,264.0,258.0,258.0,258.0,344800
2021-03-17,256.0,260.0,254.0,260.0,260.0,258200
2021-03-18,260.0,270.0,258.0,262.0,262.0,851200
2021-03-19,264.0,264.0,256.0,260.0,260.0,548900
2021-03-22,260.0,264.0,252.0,262.0,262.0,680200
2021-03-23,264.0,266.0,260.0,262.0,262.0,239000
2021-03-24,262.0,266.0,256.0,260.0,260.0,155000
2021-03-25,260.0,260.0,252.0,256.0,256.0,402100
2021-03-26,260.0,260.0,256.0,258.0,258.0,185900
2021-03-29,258.0,270.0,258.0,260.0,260.0,225800
2021-03-30,258.0,260.0,250.0,254.0,254.0,263000
2021-03-31,258.0,258.0,250.0,250.0,250.0,302000
2021-04-01,250.0,254.0,248.0,248.0,248.0,330200
2021-04-05,248.0,258.0,248.0,256.0,256.0,244000
2021-04-06,258.0,260.0,252.0,254.0,254.0,108700
2021-04-07,254.0,256.0,250.0,256.0,256.0,143400
2021-04-08,252.0,256.0,252.0,254.0,254.0,190200
2021-04-09,254.0,256.0,252.0,254.0,254.0,226000
2021-04-12,256.0,256.0,248.0,248.0,248.0,228800
2021-04-14,250.0,252.0,248.0,252.0,252.0,121000
