Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,57.0,61.0,56.0,60.0,60.0,10779700
2021-03-02,62.0,63.0,58.0,59.0,59.0,14146400
2021-03-03,60.0,60.0,57.0,59.0,59.0,4311100
2021-03-04,59.0,59.0,55.0,57.0,57.0,9943900
2021-03-05,58.0,59.0,56.0,59.0,59.0,7101600
2021-03-08,59.0,79.0,57.0,71.0,71.0,185936000
2021-03-09,71.0,71.0,67.0,67.0,67.0,9366700
2021-03-10,64.0,64.0,63.0,63.0,63.0,509400
2021-03-12,59.0,68.0,59.0,63.0,63.0,49421200
2021-03-15,63.0,63.0,59.0,61.0,61.0,14351700
2021-03-16,61.0,67.0,59.0,63.0,63.0,21180700
2021-03-17,65.0,65.0,61.0,61.0,61.0,6630100
2021-03-18,61.0,69.0,61.0,64.0,64.0,36201000
2021-03-19,66.0,68.0,63.0,65.0,65.0,29350600
2021-03-22,67.0,77.0,64.0,74.0,74.0,99872400
2021-03-23,74.0,76.0,69.0,69.0,69.0,19090800
2021-03-24,68.0,93.0,65.0,78.0,78.0,361819200
2021-03-25,78.0,91.0,73.0,80.0,80.0,243970600
2021-03-26,75.0,82.0,75.0,76.0,76.0,35122900
2021-03-29,75.0,84.0,72.0,80.0,80.0,78212200
2021-03-30,80.0,81.0,76.0,76.0,76.0,20523500
2021-03-31,76.0,81.0,74.0,78.0,78.0,18842300
2021-04-01,82.0,86.0,78.0,83.0,83.0,100770700
2021-04-05,84.0,85.0,81.0,81.0,81.0,20334700
2021-04-06,82.0,83.0,80.0,83.0,83.0,17533100
2021-04-07,83.0,85.0,80.0,83.0,83.0,26189200
2021-04-08,78.0,86.0,78.0,83.0,83.0,20588300
2021-04-09,83.0,101.0,83.0,93.0,93.0,217671300
2021-04-12,94.0,95.0,90.0,91.0,91.0,25408800
2021-04-14,96.0,97.0,93.0,94.0,94.0,18172700
