Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,891200
2021-03-02,50.0,50.0,50.0,50.0,50.0,1206000
2021-03-03,50.0,50.0,50.0,50.0,50.0,11783800
2021-03-04,50.0,55.0,50.0,54.0,54.0,138373400
2021-03-05,56.0,72.0,54.0,72.0,72.0,595642700
2021-03-08,78.0,85.0,67.0,67.0,67.0,218648200
2021-03-09,63.0,63.0,63.0,63.0,63.0,2483400
2021-03-10,59.0,59.0,59.0,59.0,59.0,3341700
2021-03-12,55.0,61.0,55.0,55.0,55.0,541610600
2021-03-15,55.0,57.0,52.0,54.0,54.0,113449300
2021-03-16,54.0,55.0,52.0,53.0,53.0,50506100
2021-03-17,53.0,53.0,50.0,51.0,51.0,51912400
2021-03-18,51.0,55.0,50.0,52.0,52.0,133247000
2021-03-19,53.0,53.0,50.0,51.0,51.0,85460100
2021-03-22,51.0,52.0,50.0,51.0,51.0,80209700
2021-03-23,50.0,51.0,50.0,50.0,50.0,89633600
2021-03-24,50.0,50.0,50.0,50.0,50.0,11429400
2021-03-25,50.0,50.0,50.0,50.0,50.0,5952200
2021-03-26,50.0,50.0,50.0,50.0,50.0,5144900
2021-03-29,50.0,50.0,50.0,50.0,50.0,1250900
2021-03-30,50.0,50.0,50.0,50.0,50.0,1023600
2021-03-31,50.0,50.0,50.0,50.0,50.0,846500
2021-04-01,50.0,50.0,50.0,50.0,50.0,7602400
2021-04-05,50.0,50.0,50.0,50.0,50.0,12007900
2021-04-06,50.0,50.0,50.0,50.0,50.0,4737300
2021-04-07,50.0,50.0,50.0,50.0,50.0,3242800
2021-04-08,50.0,50.0,50.0,50.0,50.0,4854400
2021-04-09,50.0,50.0,50.0,50.0,50.0,3160000
2021-04-12,50.0,50.0,50.0,50.0,50.0,6070200
2021-04-14,50.0,50.0,50.0,50.0,50.0,2727900
