Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,344.0,344.0,322.0,322.0,322.0,5900
2021-03-02,390.0,390.0,322.0,322.0,322.0,16900
2021-03-03,318.0,402.0,318.0,402.0,402.0,227500
2021-03-04,408.0,488.0,374.0,374.0,374.0,216300
2021-03-05,370.0,370.0,348.0,348.0,348.0,6600
2021-03-08,348.0,348.0,324.0,324.0,324.0,70000
2021-03-09,324.0,324.0,302.0,304.0,304.0,18000
2021-03-10,304.0,304.0,284.0,284.0,284.0,22300
2021-03-12,284.0,284.0,266.0,280.0,280.0,37700
2021-03-15,280.0,350.0,278.0,344.0,344.0,570400
2021-03-16,344.0,344.0,320.0,320.0,320.0,64000
2021-03-17,298.0,298.0,298.0,298.0,298.0,43000
2021-03-18,278.0,298.0,278.0,280.0,280.0,93700
2021-03-19,282.0,288.0,280.0,282.0,282.0,35200
2021-03-22,282.0,324.0,266.0,272.0,272.0,111200
2021-03-23,274.0,296.0,274.0,276.0,276.0,28400
2021-03-24,276.0,276.0,266.0,270.0,270.0,76200
2021-03-25,258.0,282.0,258.0,264.0,264.0,19900
2021-03-26,276.0,276.0,260.0,264.0,264.0,10100
2021-03-29,264.0,270.0,254.0,258.0,258.0,3800
2021-03-30,258.0,260.0,256.0,256.0,256.0,3100
2021-03-31,256.0,290.0,240.0,276.0,276.0,31400
2021-04-01,296.0,296.0,258.0,262.0,262.0,15400
2021-04-05,262.0,262.0,244.0,248.0,248.0,54900
2021-04-06,248.0,248.0,232.0,234.0,234.0,37300
2021-04-07,234.0,250.0,224.0,224.0,224.0,20600
2021-04-08,244.0,244.0,230.0,238.0,238.0,19200
2021-04-09,222.0,250.0,222.0,232.0,232.0,56700
2021-04-12,232.0,254.0,232.0,254.0,254.0,24000
2021-04-14,240.0,248.0,238.0,248.0,248.0,29100
