Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,133.0,134.0,131.0,131.0,131.0,3548900
2021-03-02,130.0,133.0,129.0,131.0,131.0,4174200
2021-03-03,131.0,142.0,130.0,135.0,135.0,34919700
2021-03-04,134.0,136.0,131.0,132.0,132.0,7761100
2021-03-05,132.0,136.0,130.0,132.0,132.0,7110500
2021-03-08,133.0,134.0,129.0,130.0,130.0,4412300
2021-03-09,130.0,137.0,129.0,130.0,130.0,30240300
2021-03-10,130.0,130.0,121.0,127.0,127.0,10391100
2021-03-12,127.0,129.0,127.0,128.0,128.0,4819400
2021-03-15,127.0,130.0,127.0,129.0,129.0,3112700
2021-03-16,129.0,134.0,129.0,130.0,130.0,12436300
2021-03-17,129.0,132.0,128.0,130.0,130.0,5614100
2021-03-18,130.0,131.0,128.0,128.0,128.0,2237400
2021-03-19,128.0,129.0,124.0,126.0,126.0,5947400
2021-03-22,127.0,127.0,123.0,125.0,125.0,2288500
2021-03-23,125.0,126.0,121.0,122.0,122.0,3228000
2021-03-24,122.0,122.0,114.0,114.0,114.0,8914400
2021-03-25,114.0,114.0,107.0,107.0,107.0,6357600
2021-03-26,107.0,119.0,102.0,108.0,108.0,11035000
2021-03-29,108.0,116.0,108.0,110.0,110.0,5221100
2021-03-30,119.0,130.0,112.0,114.0,114.0,48219300
2021-03-31,115.0,115.0,107.0,108.0,108.0,7469700
2021-04-01,108.0,110.0,104.0,107.0,107.0,3774200
2021-04-05,107.0,109.0,104.0,105.0,105.0,2323800
2021-04-06,105.0,108.0,102.0,106.0,106.0,4116200
2021-04-07,108.0,112.0,106.0,109.0,109.0,12978600
2021-04-08,109.0,114.0,105.0,109.0,109.0,11227000
2021-04-09,110.0,111.0,108.0,110.0,110.0,3156600
2021-04-12,110.0,112.0,105.0,107.0,107.0,3324000
2021-04-14,104.0,111.0,102.0,105.0,105.0,14042100
