Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,589100
2021-03-02,50.0,50.0,50.0,50.0,50.0,409300
2021-03-03,50.0,50.0,50.0,50.0,50.0,833500
2021-03-04,50.0,50.0,50.0,50.0,50.0,1312700
2021-03-05,50.0,50.0,50.0,50.0,50.0,415500
2021-03-08,50.0,50.0,50.0,50.0,50.0,537800
2021-03-09,50.0,50.0,50.0,50.0,50.0,289900
2021-03-10,50.0,50.0,50.0,50.0,50.0,301300
2021-03-12,50.0,50.0,50.0,50.0,50.0,1498200
2021-03-15,50.0,50.0,50.0,50.0,50.0,408500
2021-03-16,50.0,50.0,50.0,50.0,50.0,2732600
2021-03-17,50.0,50.0,50.0,50.0,50.0,178600
2021-03-18,50.0,50.0,50.0,50.0,50.0,616600
2021-03-19,50.0,51.0,50.0,50.0,50.0,145119700
2021-03-22,50.0,50.0,50.0,50.0,50.0,23861500
2021-03-23,50.0,54.0,50.0,50.0,50.0,829781600
2021-03-24,50.0,51.0,50.0,50.0,50.0,26157700
2021-03-25,50.0,50.0,50.0,50.0,50.0,622900
2021-03-26,50.0,50.0,50.0,50.0,50.0,482500
2021-03-29,50.0,50.0,50.0,50.0,50.0,971400
2021-03-30,50.0,50.0,50.0,50.0,50.0,177100
2021-03-31,50.0,50.0,50.0,50.0,50.0,34700
2021-04-01,50.0,50.0,50.0,50.0,50.0,222200
2021-04-05,50.0,50.0,50.0,50.0,50.0,40700
2021-04-06,50.0,50.0,50.0,50.0,50.0,45000
2021-04-07,50.0,50.0,50.0,50.0,50.0,243300
2021-04-08,50.0,50.0,50.0,50.0,50.0,130400
2021-04-09,50.0,50.0,50.0,50.0,50.0,1255700
2021-04-12,50.0,50.0,50.0,50.0,50.0,247200
2021-04-14,50.0,50.0,50.0,50.0,50.0,139900
