Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,13445600
2021-03-02,50.0,50.0,50.0,50.0,50.0,363600
2021-03-03,50.0,50.0,50.0,50.0,50.0,100400
2021-03-04,50.0,50.0,50.0,50.0,50.0,40600
2021-03-05,50.0,50.0,50.0,50.0,50.0,3431500
2021-03-08,50.0,50.0,50.0,50.0,50.0,10100
2021-03-09,50.0,50.0,50.0,50.0,50.0,14600
2021-03-10,50.0,50.0,50.0,50.0,50.0,236100
2021-03-12,50.0,50.0,50.0,50.0,50.0,157100
2021-03-15,50.0,50.0,50.0,50.0,50.0,3057300
2021-03-16,50.0,50.0,50.0,50.0,50.0,4861900
2021-03-17,50.0,50.0,50.0,50.0,50.0,4500
2021-03-18,50.0,50.0,50.0,50.0,50.0,1752200
2021-03-19,50.0,50.0,50.0,50.0,50.0,2059300
2021-03-22,50.0,50.0,50.0,50.0,50.0,78700
2021-03-23,50.0,50.0,50.0,50.0,50.0,304400
2021-03-24,50.0,50.0,50.0,50.0,50.0,1022700
2021-03-25,50.0,54.0,50.0,50.0,50.0,54376300
2021-03-26,50.0,56.0,50.0,53.0,53.0,92447200
2021-03-29,53.0,69.0,53.0,55.0,55.0,761423100
2021-03-30,57.0,64.0,54.0,58.0,58.0,238768300
2021-03-31,60.0,61.0,56.0,57.0,57.0,104208100
2021-04-01,58.0,62.0,57.0,60.0,60.0,92503100
2021-04-05,60.0,69.0,60.0,67.0,67.0,234577700
2021-04-06,68.0,75.0,65.0,73.0,73.0,211102300
2021-04-07,74.0,80.0,73.0,74.0,74.0,145749400
2021-04-08,74.0,75.0,69.0,69.0,69.0,93841000
2021-04-09,69.0,72.0,66.0,67.0,67.0,60473700
2021-04-12,68.0,69.0,63.0,65.0,65.0,51595400
2021-04-14,65.0,68.0,63.0,66.0,66.0,67385400
