Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,208.0,224.0,204.0,214.0,214.0,57938200
2021-03-02,216.0,220.0,210.0,210.0,210.0,16754600
2021-03-03,210.0,214.0,208.0,208.0,208.0,8536200
2021-03-04,208.0,208.0,202.0,204.0,204.0,11444100
2021-03-05,204.0,204.0,200.0,202.0,202.0,9710500
2021-03-08,204.0,206.0,200.0,204.0,204.0,6204300
2021-03-09,202.0,206.0,200.0,202.0,202.0,6982100
2021-03-10,202.0,208.0,200.0,204.0,204.0,7934400
2021-03-12,204.0,212.0,204.0,210.0,210.0,14187700
2021-03-15,214.0,214.0,206.0,210.0,210.0,8136400
2021-03-16,210.0,212.0,206.0,208.0,208.0,5204900
2021-03-17,206.0,210.0,204.0,206.0,206.0,6412700
2021-03-18,208.0,210.0,206.0,208.0,208.0,3304200
2021-03-19,208.0,210.0,206.0,206.0,206.0,2921900
2021-03-22,206.0,212.0,206.0,210.0,210.0,9368200
2021-03-23,210.0,212.0,206.0,206.0,206.0,9851000
2021-03-24,206.0,206.0,200.0,202.0,202.0,8139000
2021-03-25,204.0,204.0,196.0,200.0,200.0,11778800
2021-03-26,200.0,202.0,199.0,200.0,200.0,4786400
2021-03-29,202.0,204.0,200.0,202.0,202.0,2520600
2021-03-30,202.0,202.0,196.0,196.0,196.0,5524500
2021-03-31,196.0,198.0,189.0,192.0,192.0,9252200
2021-04-01,192.0,198.0,186.0,189.0,189.0,11506300
2021-04-05,189.0,193.0,186.0,187.0,187.0,6534400
2021-04-06,187.0,192.0,183.0,190.0,190.0,8101900
2021-04-07,190.0,194.0,187.0,192.0,192.0,3882600
2021-04-08,192.0,197.0,191.0,196.0,196.0,3955200
2021-04-09,196.0,197.0,193.0,194.0,194.0,4364300
2021-04-12,194.0,194.0,188.0,191.0,191.0,5036600
2021-04-14,185.0,189.0,185.0,187.0,187.0,2979000
