Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,184.0,187.0,182.0,184.0,184.0,29314500
2021-03-02,184.0,186.0,182.0,183.0,183.0,20881900
2021-03-03,184.0,185.0,181.0,181.0,181.0,22399800
2021-03-04,178.0,178.0,169.0,174.0,174.0,74711500
2021-03-05,170.0,175.0,166.0,171.0,171.0,31529800
2021-03-08,173.0,179.0,164.0,170.0,170.0,55182700
2021-03-09,170.0,175.0,165.0,168.0,168.0,50395600
2021-03-10,173.0,173.0,163.0,163.0,163.0,32367300
2021-03-12,166.0,174.0,165.0,172.0,172.0,52403400
2021-03-15,172.0,173.0,167.0,169.0,169.0,24502600
2021-03-16,170.0,171.0,167.0,168.0,168.0,12434900
2021-03-17,168.0,170.0,166.0,168.0,168.0,10118700
2021-03-18,171.0,173.0,165.0,165.0,165.0,36114800
2021-03-19,166.0,168.0,164.0,166.0,166.0,7834200
2021-03-22,167.0,169.0,165.0,166.0,166.0,17323800
2021-03-23,167.0,168.0,164.0,164.0,164.0,13769700
2021-03-24,163.0,165.0,158.0,159.0,159.0,21636300
2021-03-25,149.0,163.0,149.0,159.0,159.0,23526600
2021-03-26,161.0,167.0,157.0,165.0,165.0,28905300
2021-03-29,167.0,168.0,163.0,163.0,163.0,13091300
2021-03-30,163.0,165.0,158.0,159.0,159.0,9638800
2021-03-31,159.0,160.0,151.0,155.0,155.0,11392400
2021-04-01,156.0,159.0,152.0,155.0,155.0,7489000
2021-04-05,155.0,161.0,155.0,156.0,156.0,10056000
2021-04-06,157.0,163.0,157.0,162.0,162.0,28606900
2021-04-07,165.0,172.0,160.0,167.0,167.0,31132200
2021-04-08,175.0,182.0,164.0,176.0,176.0,86594100
2021-04-09,178.0,182.0,170.0,171.0,171.0,42551600
2021-04-12,172.0,178.0,168.0,174.0,174.0,28365400
2021-04-14,171.0,173.0,168.0,170.0,170.0,12923100
