Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,234.0,248.0,232.0,242.0,242.0,206040800
2021-03-02,242.0,248.0,234.0,236.0,236.0,128525100
2021-03-03,236.0,240.0,232.0,234.0,234.0,109759800
2021-03-04,234.0,238.0,232.0,234.0,234.0,88445400
2021-03-05,234.0,240.0,232.0,236.0,236.0,81041200
2021-03-08,236.0,238.0,234.0,236.0,236.0,72611200
2021-03-09,236.0,238.0,234.0,238.0,238.0,73117900
2021-03-10,238.0,244.0,236.0,236.0,236.0,128119500
2021-03-12,240.0,242.0,238.0,240.0,240.0,61421200
2021-03-15,242.0,244.0,238.0,242.0,242.0,56513800
2021-03-16,242.0,254.0,242.0,248.0,248.0,163794400
2021-03-17,252.0,252.0,242.0,248.0,248.0,60979500
2021-03-18,246.0,250.0,246.0,250.0,250.0,42457400
2021-03-19,250.0,250.0,244.0,248.0,248.0,55082000
2021-03-22,248.0,250.0,246.0,248.0,248.0,78427200
2021-03-23,248.0,250.0,244.0,246.0,246.0,82198700
2021-03-24,244.0,248.0,236.0,238.0,238.0,57543400
2021-03-25,238.0,240.0,230.0,234.0,234.0,52313700
2021-03-26,238.0,240.0,232.0,238.0,238.0,22766700
2021-03-29,238.0,238.0,232.0,232.0,232.0,23361800
2021-03-30,234.0,236.0,228.0,228.0,228.0,51707100
2021-03-31,230.0,236.0,230.0,236.0,236.0,92076600
2021-04-01,238.0,238.0,232.0,238.0,238.0,28542000
2021-04-05,240.0,240.0,234.0,236.0,236.0,22344600
2021-04-06,234.0,238.0,232.0,236.0,236.0,39586000
2021-04-07,238.0,248.0,234.0,248.0,248.0,124191900
2021-04-08,252.0,252.0,240.0,244.0,244.0,50667500
2021-04-09,244.0,246.0,242.0,244.0,244.0,29784800
2021-04-12,244.0,246.0,236.0,236.0,236.0,35031600
2021-04-14,234.0,238.0,234.0,236.0,236.0,12309900
