Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,276.0,276.0,276.0,276.0,276.0,300
2021-03-02,276.0,276.0,276.0,276.0,276.0,1100
2021-03-03,282.0,282.0,272.0,272.0,272.0,107600
2021-03-04,278.0,284.0,274.0,284.0,284.0,3900
2021-03-05,284.0,288.0,284.0,286.0,286.0,44700
2021-03-08,288.0,288.0,284.0,286.0,286.0,12500
2021-03-09,286.0,286.0,286.0,286.0,286.0,0
2021-03-10,272.0,284.0,272.0,284.0,284.0,2300
2021-03-12,284.0,286.0,270.0,284.0,284.0,129200
2021-03-15,284.0,284.0,282.0,284.0,284.0,27500
2021-03-16,286.0,288.0,286.0,286.0,286.0,47300
2021-03-17,290.0,292.0,286.0,286.0,286.0,66400
2021-03-18,286.0,286.0,286.0,286.0,286.0,200
2021-03-19,286.0,286.0,272.0,272.0,272.0,72300
2021-03-22,274.0,282.0,274.0,280.0,280.0,28000
2021-03-23,282.0,282.0,276.0,278.0,278.0,16900
2021-03-24,282.0,284.0,280.0,280.0,280.0,27500
2021-03-25,282.0,282.0,276.0,276.0,276.0,50500
2021-03-26,276.0,294.0,276.0,286.0,286.0,1900
2021-03-29,286.0,292.0,278.0,284.0,284.0,7400
2021-03-30,282.0,282.0,276.0,276.0,276.0,5300
2021-03-31,286.0,286.0,278.0,278.0,278.0,61000
2021-04-01,278.0,278.0,278.0,278.0,278.0,2100
2021-04-05,278.0,282.0,276.0,282.0,282.0,17500
2021-04-06,282.0,300.0,280.0,290.0,290.0,58100
2021-04-07,290.0,290.0,272.0,272.0,272.0,109400
2021-04-08,282.0,284.0,280.0,280.0,280.0,5500
2021-04-09,278.0,282.0,278.0,280.0,280.0,3600
2021-04-12,278.0,278.0,274.0,274.0,274.0,300
2021-04-14,274.0,278.0,274.0,278.0,278.0,600
