Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,272400
2021-03-02,50.0,50.0,50.0,50.0,50.0,28700
2021-03-03,50.0,50.0,50.0,50.0,50.0,37400
2021-03-04,51.0,53.0,50.0,50.0,50.0,12259800
2021-03-05,50.0,50.0,50.0,50.0,50.0,89100
2021-03-08,53.0,53.0,50.0,50.0,50.0,185300
2021-03-09,50.0,50.0,50.0,50.0,50.0,151900
2021-03-10,50.0,50.0,50.0,50.0,50.0,25300
2021-03-12,50.0,50.0,50.0,50.0,50.0,151100
2021-03-15,50.0,50.0,50.0,50.0,50.0,25800
2021-03-16,50.0,50.0,50.0,50.0,50.0,522700
2021-03-17,50.0,50.0,50.0,50.0,50.0,34200
2021-03-18,50.0,50.0,50.0,50.0,50.0,681000
2021-03-19,50.0,50.0,50.0,50.0,50.0,281800
2021-03-22,50.0,50.0,50.0,50.0,50.0,61600
2021-03-23,50.0,50.0,50.0,50.0,50.0,1000
2021-03-24,50.0,50.0,50.0,50.0,50.0,8800
2021-03-25,50.0,50.0,50.0,50.0,50.0,22700
2021-03-26,50.0,50.0,50.0,50.0,50.0,1348600
2021-03-29,50.0,50.0,50.0,50.0,50.0,360000
2021-03-30,50.0,50.0,50.0,50.0,50.0,15000
2021-03-31,50.0,50.0,50.0,50.0,50.0,5700
2021-04-01,50.0,50.0,50.0,50.0,50.0,3000
2021-04-05,50.0,50.0,50.0,50.0,50.0,19400
2021-04-06,50.0,50.0,50.0,50.0,50.0,12700
2021-04-07,50.0,50.0,50.0,50.0,50.0,8300
2021-04-08,50.0,50.0,50.0,50.0,50.0,11600
2021-04-09,50.0,50.0,50.0,50.0,50.0,17400
2021-04-12,50.0,50.0,50.0,50.0,50.0,9600
2021-04-14,50.0,50.0,50.0,50.0,50.0,2600
