Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,260.0,262.0,258.0,260.0,260.0,13108700
2021-03-02,266.0,280.0,262.0,276.0,276.0,46782800
2021-03-03,280.0,290.0,274.0,274.0,274.0,41785400
2021-03-04,274.0,276.0,262.0,266.0,266.0,15798700
2021-03-05,264.0,264.0,258.0,260.0,260.0,10444600
2021-03-08,260.0,274.0,260.0,264.0,264.0,5640600
2021-03-09,262.0,266.0,260.0,262.0,262.0,6107800
2021-03-10,262.0,266.0,260.0,262.0,262.0,3773500
2021-03-12,262.0,272.0,260.0,266.0,266.0,12038800
2021-03-15,266.0,276.0,266.0,272.0,272.0,12213800
2021-03-16,274.0,280.0,270.0,272.0,272.0,9733000
2021-03-17,272.0,274.0,264.0,266.0,266.0,3728100
2021-03-18,266.0,270.0,262.0,264.0,264.0,8265500
2021-03-19,266.0,266.0,260.0,262.0,262.0,6680100
2021-03-22,262.0,266.0,260.0,260.0,260.0,9806600
2021-03-23,260.0,266.0,260.0,262.0,262.0,6928200
2021-03-24,262.0,264.0,258.0,260.0,260.0,6412000
2021-03-25,262.0,264.0,250.0,252.0,252.0,12696200
2021-03-26,252.0,254.0,248.0,254.0,254.0,4402000
2021-03-29,254.0,260.0,250.0,256.0,256.0,6537600
2021-03-30,256.0,256.0,250.0,252.0,252.0,2769500
2021-03-31,252.0,252.0,238.0,238.0,238.0,11531000
2021-04-01,238.0,242.0,236.0,240.0,240.0,5681000
2021-04-05,240.0,254.0,238.0,242.0,242.0,11212300
2021-04-06,250.0,252.0,244.0,246.0,246.0,3611600
2021-04-07,248.0,250.0,242.0,248.0,248.0,5146800
2021-04-08,248.0,254.0,244.0,248.0,248.0,5312400
2021-04-09,248.0,252.0,246.0,246.0,246.0,2435100
2021-04-12,248.0,250.0,240.0,242.0,242.0,3048300
2021-04-14,236.0,248.0,234.0,236.0,236.0,4499800
