Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,2440.0,2440.0,2400.0,2430.0,2430.0,1300
2021-03-02,2460.0,2460.0,2400.0,2400.0,2400.0,38700
2021-03-03,2400.0,2410.0,2380.0,2410.0,2410.0,5800
2021-03-04,2420.0,2420.0,2390.0,2390.0,2390.0,4000
2021-03-05,2380.0,2390.0,2370.0,2380.0,2380.0,5400
2021-03-08,2380.0,2400.0,2370.0,2380.0,2380.0,6600
2021-03-09,2410.0,2410.0,2380.0,2380.0,2380.0,3100
2021-03-10,2400.0,2400.0,2370.0,2390.0,2390.0,3300
2021-03-12,2390.0,2460.0,2380.0,2460.0,2460.0,7200
2021-03-15,2460.0,2480.0,2390.0,2390.0,2390.0,18700
2021-03-16,2390.0,2420.0,2380.0,2390.0,2390.0,10800
2021-03-17,2390.0,2400.0,2390.0,2390.0,2390.0,16800
2021-03-18,2390.0,2400.0,2390.0,2390.0,2390.0,41100
2021-03-19,2390.0,2400.0,2380.0,2390.0,2390.0,23900
2021-03-22,2390.0,2400.0,2380.0,2380.0,2380.0,85700
2021-03-23,2380.0,2380.0,2380.0,2380.0,2380.0,1000
2021-03-24,2400.0,2400.0,2370.0,2380.0,2380.0,57500
2021-03-25,2370.0,2400.0,2370.0,2380.0,2380.0,16900
2021-03-26,2380.0,2400.0,2380.0,2390.0,2390.0,3100
2021-03-29,2390.0,2410.0,2370.0,2370.0,2370.0,30300
2021-03-30,2370.0,2380.0,2360.0,2380.0,2380.0,15800
2021-03-31,2390.0,2390.0,2370.0,2370.0,2370.0,7400
2021-04-01,2370.0,2400.0,2370.0,2400.0,2400.0,6800
2021-04-05,2400.0,2400.0,2360.0,2400.0,2400.0,6800
2021-04-06,2400.0,2400.0,2390.0,2390.0,2390.0,8100
2021-04-07,2390.0,2400.0,2390.0,2400.0,2400.0,3200
2021-04-08,2400.0,2410.0,2400.0,2400.0,2400.0,2700
2021-04-09,2380.0,2400.0,2380.0,2400.0,2400.0,4300
2021-04-12,2400.0,2400.0,2370.0,2380.0,2380.0,6800
2021-04-14,2390.0,2390.0,2390.0,2390.0,2390.0,1100
