Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,995.0,1100.0,995.0,1100.0,1100.0,20300
2021-03-02,1100.0,1100.0,1100.0,1100.0,1100.0,20700
2021-03-03,1100.0,1100.0,1100.0,1100.0,1100.0,500
2021-03-04,1100.0,1100.0,1100.0,1100.0,1100.0,100
2021-03-05,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-03-08,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-03-09,1030.0,1100.0,1030.0,1100.0,1100.0,20300
2021-03-10,1100.0,1100.0,1100.0,1100.0,1100.0,200
2021-03-12,1100.0,1100.0,1100.0,1100.0,1100.0,100
2021-03-15,1100.0,1100.0,1100.0,1100.0,1100.0,100
2021-03-16,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-03-17,1100.0,1100.0,1100.0,1100.0,1100.0,100
2021-03-18,1100.0,1100.0,1100.0,1100.0,1100.0,10100
2021-03-19,1100.0,1100.0,1100.0,1100.0,1100.0,300
2021-03-22,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-03-23,1095.0,1095.0,1095.0,1095.0,1095.0,500
2021-03-24,1095.0,1095.0,1095.0,1095.0,1095.0,0
2021-03-25,1090.0,1100.0,1090.0,1100.0,1100.0,10300
2021-03-26,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-03-29,1095.0,1100.0,1025.0,1050.0,1050.0,30200
2021-03-30,1050.0,1050.0,1050.0,1050.0,1050.0,0
2021-03-31,1050.0,1050.0,1050.0,1050.0,1050.0,0
2021-04-01,1100.0,1100.0,1100.0,1100.0,1100.0,10000
2021-04-05,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-06,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-07,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-08,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-09,1100.0,1100.0,1100.0,1100.0,1100.0,0
2021-04-12,1095.0,1095.0,1095.0,1095.0,1095.0,3000
