Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,113.0,122.0,113.0,119.0,119.0,88542900
2021-03-02,119.0,120.0,116.0,117.0,117.0,72322600
2021-03-03,118.0,120.0,117.0,117.0,117.0,38786100
2021-03-04,118.0,120.0,114.0,117.0,117.0,77568300
2021-03-05,117.0,120.0,116.0,117.0,117.0,49443300
2021-03-08,118.0,122.0,118.0,118.0,118.0,95321600
2021-03-09,118.0,121.0,114.0,117.0,117.0,77312100
2021-03-10,117.0,117.0,115.0,116.0,116.0,24450200
2021-03-12,117.0,120.0,116.0,118.0,118.0,56069900
2021-03-15,119.0,121.0,117.0,120.0,120.0,57632700
2021-03-16,120.0,121.0,118.0,119.0,119.0,49516300
2021-03-17,120.0,120.0,117.0,118.0,118.0,37447100
2021-03-18,118.0,121.0,118.0,118.0,118.0,46400400
2021-03-19,119.0,126.0,113.0,118.0,118.0,279364100
2021-03-22,119.0,121.0,114.0,116.0,116.0,99893500
2021-03-23,120.0,120.0,113.0,113.0,113.0,88424500
2021-03-24,113.0,113.0,107.0,111.0,111.0,74103800
2021-03-25,112.0,115.0,104.0,112.0,112.0,113259500
2021-03-26,112.0,113.0,109.0,113.0,113.0,30460200
2021-03-29,113.0,114.0,110.0,111.0,111.0,30900800
2021-03-30,111.0,112.0,107.0,107.0,107.0,21565300
2021-03-31,107.0,109.0,100.0,105.0,105.0,104203800
2021-04-01,105.0,108.0,101.0,104.0,104.0,70964000
2021-04-05,104.0,107.0,103.0,104.0,104.0,21834900
2021-04-06,104.0,105.0,102.0,104.0,104.0,36929000
2021-04-07,103.0,110.0,103.0,109.0,109.0,76514600
2021-04-08,113.0,121.0,112.0,118.0,118.0,381119100
2021-04-09,119.0,120.0,110.0,112.0,112.0,174907100
2021-04-12,111.0,115.0,108.0,109.0,109.0,45309800
2021-04-14,109.0,112.0,106.0,109.0,109.0,56339300
