Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,174100
2021-03-02,50.0,50.0,50.0,50.0,50.0,146900
2021-03-03,50.0,50.0,50.0,50.0,50.0,28900
2021-03-04,50.0,50.0,50.0,50.0,50.0,414300
2021-03-05,50.0,50.0,50.0,50.0,50.0,1927600
2021-03-08,50.0,53.0,50.0,50.0,50.0,29728000
2021-03-09,50.0,50.0,50.0,50.0,50.0,3719600
2021-03-10,50.0,50.0,50.0,50.0,50.0,2661300
2021-03-12,50.0,50.0,50.0,50.0,50.0,276900
2021-03-15,50.0,50.0,50.0,50.0,50.0,181100
2021-03-16,50.0,51.0,50.0,50.0,50.0,20136700
2021-03-17,50.0,50.0,50.0,50.0,50.0,2102000
2021-03-18,50.0,50.0,50.0,50.0,50.0,417800
2021-03-19,50.0,50.0,50.0,50.0,50.0,411700
2021-03-22,50.0,50.0,50.0,50.0,50.0,1165000
2021-03-23,50.0,50.0,50.0,50.0,50.0,102100
2021-03-24,50.0,50.0,50.0,50.0,50.0,66500
2021-03-25,50.0,50.0,50.0,50.0,50.0,22900
2021-03-26,50.0,50.0,50.0,50.0,50.0,29700
2021-03-29,50.0,50.0,50.0,50.0,50.0,249100
2021-03-30,50.0,50.0,50.0,50.0,50.0,207600
2021-03-31,50.0,50.0,50.0,50.0,50.0,327800
2021-04-01,50.0,50.0,50.0,50.0,50.0,627700
2021-04-05,50.0,50.0,50.0,50.0,50.0,602800
2021-04-06,50.0,50.0,50.0,50.0,50.0,129100
2021-04-07,50.0,50.0,50.0,50.0,50.0,60700
2021-04-08,50.0,50.0,50.0,50.0,50.0,68600
2021-04-09,50.0,50.0,50.0,50.0,50.0,16800
2021-04-12,50.0,50.0,50.0,50.0,50.0,4700
2021-04-14,50.0,50.0,50.0,50.0,50.0,29400
