Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,71.0,71.0,69.0,70.0,70.0,1188700
2021-03-02,70.0,72.0,69.0,72.0,72.0,3498800
2021-03-03,72.0,74.0,67.0,70.0,70.0,4906800
2021-03-04,71.0,72.0,68.0,69.0,69.0,4417000
2021-03-05,70.0,74.0,69.0,74.0,74.0,7617400
2021-03-08,84.0,99.0,77.0,99.0,99.0,169585300
2021-03-09,114.0,118.0,93.0,93.0,93.0,22356500
2021-03-10,87.0,87.0,87.0,87.0,87.0,1005300
2021-03-12,81.0,81.0,81.0,81.0,81.0,1295200
2021-03-15,76.0,76.0,76.0,76.0,76.0,5514300
2021-03-16,71.0,83.0,71.0,71.0,71.0,83570200
2021-03-17,74.0,75.0,69.0,71.0,71.0,8985000
2021-03-18,71.0,72.0,69.0,71.0,71.0,4620100
2021-03-19,69.0,72.0,69.0,70.0,70.0,6390800
2021-03-22,70.0,75.0,66.0,67.0,67.0,116846300
2021-03-23,69.0,69.0,64.0,64.0,64.0,13909300
2021-03-24,65.0,66.0,60.0,63.0,63.0,8721400
2021-03-25,59.0,64.0,59.0,61.0,61.0,6059400
2021-03-26,58.0,67.0,58.0,62.0,62.0,12023600
2021-03-29,62.0,64.0,60.0,61.0,61.0,4355400
2021-03-30,60.0,62.0,60.0,61.0,61.0,4740000
2021-03-31,65.0,69.0,59.0,61.0,61.0,24934900
2021-04-01,58.0,64.0,58.0,61.0,61.0,10341700
2021-04-05,59.0,61.0,59.0,59.0,59.0,3614600
2021-04-06,58.0,63.0,58.0,61.0,61.0,8899600
2021-04-07,60.0,61.0,58.0,59.0,59.0,6697700
2021-04-08,57.0,62.0,57.0,61.0,61.0,6156600
2021-04-09,60.0,62.0,59.0,59.0,59.0,3309200
2021-04-12,58.0,61.0,58.0,59.0,59.0,2940800
2021-04-14,59.0,60.0,56.0,57.0,57.0,5059000
