Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,2130.0,2160.0,2130.0,2140.0,2140.0,33300
2021-03-02,2140.0,2150.0,2130.0,2140.0,2140.0,106000
2021-03-03,2160.0,2180.0,2160.0,2160.0,2160.0,40900
2021-03-04,2170.0,2180.0,2150.0,2150.0,2150.0,220200
2021-03-05,2150.0,2150.0,2100.0,2120.0,2120.0,17800
2021-03-08,2120.0,2160.0,2120.0,2160.0,2160.0,14600
2021-03-09,2160.0,2160.0,2130.0,2130.0,2130.0,24400
2021-03-10,2110.0,2130.0,2110.0,2120.0,2120.0,19600
2021-03-12,2150.0,2160.0,2120.0,2120.0,2120.0,37600
2021-03-15,2120.0,2160.0,2120.0,2160.0,2160.0,12200
2021-03-16,2160.0,2160.0,2140.0,2150.0,2150.0,314300
2021-03-17,2160.0,2160.0,2140.0,2150.0,2150.0,93600
2021-03-18,2180.0,2240.0,2160.0,2210.0,2210.0,481900
2021-03-19,2210.0,2210.0,2140.0,2160.0,2160.0,42900
2021-03-22,2160.0,2190.0,2140.0,2150.0,2150.0,248700
2021-03-23,2150.0,2220.0,2150.0,2160.0,2160.0,373100
2021-03-24,2160.0,2190.0,2120.0,2160.0,2160.0,61000
2021-03-25,2150.0,2170.0,2140.0,2170.0,2170.0,6200
2021-03-26,2140.0,2170.0,2120.0,2160.0,2160.0,27800
2021-03-29,2160.0,2170.0,2130.0,2160.0,2160.0,91500
2021-03-30,2160.0,2160.0,2130.0,2140.0,2140.0,18300
2021-03-31,2150.0,2180.0,2150.0,2150.0,2150.0,38300
2021-04-01,2190.0,2200.0,2140.0,2170.0,2170.0,44800
2021-04-05,2170.0,2170.0,2140.0,2140.0,2140.0,47800
2021-04-06,2140.0,2160.0,2130.0,2160.0,2160.0,44000
2021-04-07,2160.0,2170.0,2150.0,2170.0,2170.0,71700
2021-04-08,2170.0,2170.0,2160.0,2160.0,2160.0,17200
2021-04-09,2160.0,2180.0,2160.0,2160.0,2160.0,114700
2021-04-12,2160.0,2180.0,2160.0,2170.0,2170.0,136400
2021-04-14,2180.0,2190.0,2150.0,2160.0,2160.0,21500
