Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,78.0,78.0,72.0,75.0,75.0,3369300
2021-03-02,78.0,81.0,74.0,75.0,75.0,3652700
2021-03-03,75.0,79.0,75.0,75.0,75.0,1294600
2021-03-04,75.0,77.0,74.0,75.0,75.0,591200
2021-03-05,75.0,81.0,74.0,78.0,78.0,13386100
2021-03-08,79.0,105.0,79.0,105.0,105.0,216994700
2021-03-09,109.0,113.0,98.0,98.0,98.0,37743400
2021-03-10,92.0,92.0,92.0,92.0,92.0,431400
2021-03-12,86.0,86.0,86.0,86.0,86.0,2258400
2021-03-15,81.0,106.0,80.0,93.0,93.0,82591200
2021-03-16,93.0,94.0,87.0,91.0,91.0,9035000
2021-03-17,95.0,97.0,87.0,91.0,91.0,14858100
2021-03-18,91.0,97.0,89.0,90.0,90.0,18069200
2021-03-19,90.0,93.0,84.0,84.0,84.0,18426300
2021-03-22,89.0,89.0,81.0,83.0,83.0,3829300
2021-03-23,83.0,86.0,80.0,83.0,83.0,3596400
2021-03-24,83.0,83.0,78.0,81.0,81.0,7595500
2021-03-25,81.0,96.0,78.0,79.0,79.0,50350200
2021-03-26,79.0,84.0,78.0,78.0,78.0,11690500
2021-03-29,78.0,79.0,73.0,75.0,75.0,10515500
2021-03-30,75.0,81.0,73.0,77.0,77.0,9304100
2021-03-31,77.0,78.0,73.0,75.0,75.0,2763800
2021-04-01,75.0,78.0,73.0,76.0,76.0,2381300
2021-04-05,76.0,76.0,71.0,74.0,74.0,6686800
2021-04-06,74.0,82.0,69.0,75.0,75.0,13994300
2021-04-07,79.0,82.0,75.0,76.0,76.0,21204100
2021-04-08,77.0,80.0,74.0,76.0,76.0,11270600
2021-04-09,76.0,78.0,75.0,76.0,76.0,2660400
2021-04-12,76.0,79.0,75.0,76.0,76.0,2848600
2021-04-14,74.0,76.0,74.0,75.0,75.0,1710500
