Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,725.0,775.0,710.0,755.0,755.0,8224300
2021-03-02,740.0,770.0,710.0,710.0,710.0,6967900
2021-03-03,670.0,755.0,670.0,705.0,705.0,11707200
2021-03-04,705.0,720.0,675.0,685.0,685.0,5503800
2021-03-05,700.0,720.0,650.0,650.0,650.0,11494600
2021-03-08,650.0,680.0,630.0,665.0,665.0,3783900
2021-03-09,685.0,695.0,625.0,625.0,625.0,7643300
2021-03-10,625.0,640.0,595.0,600.0,600.0,4460400
2021-03-12,620.0,670.0,600.0,645.0,645.0,11583100
2021-03-15,605.0,670.0,605.0,635.0,635.0,4338900
2021-03-16,635.0,645.0,620.0,630.0,630.0,2071400
2021-03-17,595.0,630.0,590.0,605.0,605.0,2937500
2021-03-18,575.0,650.0,575.0,625.0,625.0,5343600
2021-03-19,660.0,670.0,620.0,620.0,620.0,7925500
2021-03-22,640.0,655.0,625.0,640.0,640.0,4270900
2021-03-23,645.0,685.0,625.0,635.0,635.0,11000300
2021-03-24,600.0,635.0,600.0,610.0,610.0,2630800
2021-03-25,610.0,610.0,570.0,585.0,585.0,4197900
2021-03-26,580.0,610.0,580.0,605.0,605.0,2092500
2021-03-29,595.0,610.0,580.0,590.0,590.0,1849700
2021-03-30,590.0,590.0,550.0,550.0,550.0,3951100
2021-03-31,550.0,560.0,515.0,525.0,525.0,2926200
2021-04-01,540.0,540.0,496.0,515.0,515.0,2592300
2021-04-05,550.0,550.0,480.0,480.0,480.0,4305400
2021-04-06,482.0,492.0,472.0,478.0,478.0,2262300
2021-04-07,458.0,496.0,458.0,496.0,496.0,2418600
2021-04-08,478.0,525.0,478.0,505.0,505.0,3517100
2021-04-09,505.0,520.0,505.0,515.0,515.0,1540900
2021-04-12,515.0,520.0,488.0,492.0,492.0,1835000
2021-04-14,476.0,486.0,472.0,476.0,476.0,871300
