Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,102.0,103.0,100.0,102.0,102.0,817800
2021-03-02,103.0,103.0,100.0,100.0,100.0,378200
2021-03-03,102.0,103.0,100.0,100.0,100.0,1934500
2021-03-04,101.0,101.0,99.0,99.0,99.0,1010800
2021-03-05,99.0,105.0,95.0,103.0,103.0,5682500
2021-03-08,103.0,104.0,99.0,101.0,101.0,3307700
2021-03-09,101.0,102.0,99.0,101.0,101.0,1810200
2021-03-10,101.0,102.0,99.0,100.0,100.0,2236800
2021-03-12,100.0,101.0,99.0,99.0,99.0,704200
2021-03-15,100.0,100.0,98.0,99.0,99.0,1277000
2021-03-16,100.0,101.0,99.0,101.0,101.0,692900
2021-03-17,101.0,101.0,98.0,99.0,99.0,1011300
2021-03-18,100.0,100.0,96.0,100.0,100.0,4529400
2021-03-19,100.0,101.0,98.0,100.0,100.0,736100
2021-03-22,100.0,105.0,96.0,105.0,105.0,6552600
2021-03-23,104.0,108.0,98.0,108.0,108.0,13687300
2021-03-24,110.0,114.0,101.0,114.0,114.0,18737900
2021-03-25,112.0,114.0,107.0,113.0,113.0,24488000
2021-03-26,107.0,112.0,107.0,108.0,108.0,17768600
2021-03-29,108.0,108.0,101.0,101.0,101.0,8401700
2021-03-30,100.0,101.0,96.0,101.0,101.0,7552500
2021-03-31,101.0,101.0,96.0,96.0,96.0,5191500
2021-04-01,96.0,107.0,96.0,107.0,107.0,6068800
2021-04-05,107.0,107.0,100.0,106.0,106.0,15578500
2021-04-06,106.0,110.0,101.0,103.0,103.0,20281400
2021-04-07,103.0,105.0,100.0,104.0,104.0,7769900
2021-04-08,104.0,104.0,99.0,99.0,99.0,10000900
2021-04-09,100.0,101.0,97.0,99.0,99.0,2505700
2021-04-12,101.0,101.0,98.0,98.0,98.0,1605700
2021-04-14,99.0,100.0,98.0,98.0,98.0,1569800
