Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,51000
2021-03-02,50.0,50.0,50.0,50.0,50.0,5000
2021-03-03,50.0,50.0,50.0,50.0,50.0,131500
2021-03-04,50.0,50.0,50.0,50.0,50.0,400
2021-03-05,50.0,50.0,50.0,50.0,50.0,221300
2021-03-08,50.0,50.0,50.0,50.0,50.0,115500
2021-03-09,50.0,50.0,50.0,50.0,50.0,1600
2021-03-10,50.0,50.0,50.0,50.0,50.0,300
2021-03-12,50.0,50.0,50.0,50.0,50.0,18200
2021-03-15,50.0,50.0,50.0,50.0,50.0,19200
2021-03-16,50.0,50.0,50.0,50.0,50.0,71500
2021-03-17,50.0,50.0,50.0,50.0,50.0,201400
2021-03-18,50.0,50.0,50.0,50.0,50.0,4500
2021-03-19,50.0,50.0,50.0,50.0,50.0,140600
2021-03-22,50.0,50.0,50.0,50.0,50.0,47200
2021-03-23,50.0,50.0,50.0,50.0,50.0,0
2021-03-24,50.0,50.0,50.0,50.0,50.0,52300
2021-03-25,50.0,50.0,50.0,50.0,50.0,0
2021-03-26,50.0,50.0,50.0,50.0,50.0,13100
2021-03-29,50.0,50.0,50.0,50.0,50.0,20200
2021-03-30,50.0,50.0,50.0,50.0,50.0,2558400
2021-03-31,50.0,50.0,50.0,50.0,50.0,34400
2021-04-01,50.0,50.0,50.0,50.0,50.0,3700
2021-04-05,50.0,50.0,50.0,50.0,50.0,1000
2021-04-06,50.0,50.0,50.0,50.0,50.0,100
2021-04-07,50.0,50.0,50.0,50.0,50.0,300
2021-04-08,50.0,50.0,50.0,50.0,50.0,9900
2021-04-09,50.0,50.0,50.0,50.0,50.0,200
2021-04-12,50.0,50.0,50.0,50.0,50.0,1100
2021-04-14,50.0,50.0,50.0,50.0,50.0,10600
