Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,278.0,294.0,274.0,278.0,278.0,25619900
2021-03-02,276.0,284.0,276.0,276.0,276.0,5732900
2021-03-03,266.0,284.0,266.0,270.0,270.0,14066400
2021-03-04,270.0,276.0,256.0,256.0,256.0,14457300
2021-03-05,260.0,284.0,242.0,256.0,256.0,60832100
2021-03-08,256.0,266.0,252.0,260.0,260.0,11365800
2021-03-09,260.0,264.0,248.0,250.0,250.0,8059300
2021-03-10,252.0,256.0,246.0,248.0,248.0,3911800
2021-03-12,250.0,256.0,246.0,248.0,248.0,5778300
2021-03-15,248.0,266.0,248.0,256.0,256.0,12002200
2021-03-16,256.0,258.0,248.0,250.0,250.0,4311900
2021-03-17,238.0,258.0,238.0,252.0,252.0,8645000
2021-03-18,252.0,256.0,246.0,248.0,248.0,4164000
2021-03-19,248.0,250.0,242.0,244.0,244.0,4981800
2021-03-22,244.0,246.0,240.0,242.0,242.0,2284500
2021-03-23,242.0,244.0,230.0,240.0,240.0,5162100
2021-03-24,228.0,240.0,224.0,230.0,230.0,5802000
2021-03-25,218.0,232.0,216.0,222.0,222.0,4696500
2021-03-26,226.0,238.0,220.0,234.0,234.0,4745500
2021-03-29,246.0,260.0,232.0,232.0,232.0,30009500
2021-03-30,234.0,240.0,222.0,224.0,224.0,5187300
2021-03-31,224.0,226.0,214.0,218.0,218.0,4441700
2021-04-01,218.0,228.0,214.0,216.0,216.0,5462400
2021-04-05,216.0,224.0,212.0,218.0,218.0,3993600
2021-04-06,222.0,234.0,214.0,228.0,228.0,18678200
2021-04-07,222.0,228.0,222.0,226.0,226.0,3110200
2021-04-08,222.0,232.0,222.0,228.0,228.0,4256100
2021-04-09,230.0,230.0,224.0,228.0,228.0,2416700
2021-04-12,226.0,228.0,214.0,216.0,216.0,4977100
2021-04-14,210.0,224.0,206.0,218.0,218.0,8356000
