Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,3030.0,3030.0,3030.0,3030.0,3030.0,0
2021-03-02,3030.0,3240.0,2820.0,3050.0,3050.0,1729100
2021-03-03,3050.0,3100.0,2840.0,2840.0,2840.0,390900
2021-03-04,2840.0,2840.0,2650.0,2650.0,2650.0,80700
2021-03-05,2470.0,2470.0,2470.0,2470.0,2470.0,38100
2021-03-08,2470.0,2470.0,2300.0,2300.0,2300.0,23500
2021-03-09,2300.0,2300.0,2140.0,2140.0,2140.0,29500
2021-03-10,1995.0,1995.0,1995.0,1995.0,1995.0,19900
2021-03-12,1990.0,2490.0,1860.0,1950.0,1950.0,879300
2021-03-15,1950.0,1950.0,1840.0,1840.0,1840.0,140800
2021-03-16,1840.0,2100.0,1840.0,1940.0,1940.0,370600
2021-03-17,1975.0,1980.0,1840.0,1880.0,1880.0,192500
2021-03-18,1885.0,1930.0,1845.0,1845.0,1845.0,145500
2021-03-19,1850.0,1850.0,1730.0,1825.0,1825.0,223900
2021-03-22,1950.0,1950.0,1840.0,1845.0,1845.0,459900
2021-03-23,1865.0,1865.0,1740.0,1750.0,1750.0,125700
2021-03-24,1750.0,1750.0,1635.0,1635.0,1635.0,112000
2021-03-25,1630.0,1630.0,1550.0,1560.0,1560.0,54600
2021-03-26,1560.0,1600.0,1485.0,1595.0,1595.0,190400
2021-03-29,1595.0,1635.0,1530.0,1555.0,1555.0,61900
2021-03-30,1555.0,1580.0,1500.0,1510.0,1510.0,35200
2021-03-31,1510.0,1510.0,1480.0,1480.0,1480.0,77500
2021-04-01,1480.0,1560.0,1475.0,1555.0,1555.0,48900
2021-04-05,1560.0,1600.0,1515.0,1520.0,1520.0,74500
2021-04-06,1520.0,1560.0,1475.0,1520.0,1520.0,71700
2021-04-07,1475.0,1485.0,1475.0,1485.0,1485.0,25000
2021-04-08,1485.0,1510.0,1480.0,1510.0,1510.0,15700
2021-04-09,1510.0,1625.0,1450.0,1580.0,1580.0,52700
2021-04-12,1650.0,1800.0,1580.0,1580.0,1580.0,149000
2021-04-14,1520.0,1520.0,1410.0,1505.0,1505.0,115500
