Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,348.0,348.0,348.0,348.0,348.0,0
2021-03-02,348.0,348.0,348.0,348.0,348.0,200
2021-03-03,348.0,348.0,348.0,348.0,348.0,0
2021-03-04,348.0,348.0,348.0,348.0,348.0,100
2021-03-05,348.0,348.0,348.0,348.0,348.0,0
2021-03-08,348.0,348.0,348.0,348.0,348.0,1000
2021-03-09,348.0,348.0,346.0,348.0,348.0,20300
2021-03-10,348.0,348.0,348.0,348.0,348.0,10200
2021-03-12,348.0,348.0,348.0,348.0,348.0,20100
2021-03-15,346.0,346.0,324.0,346.0,346.0,22400
2021-03-16,348.0,348.0,348.0,348.0,348.0,100
2021-03-17,348.0,348.0,324.0,348.0,348.0,113500
2021-03-18,348.0,348.0,328.0,344.0,344.0,30500
2021-03-19,344.0,348.0,344.0,348.0,348.0,20300
2021-03-22,348.0,348.0,348.0,348.0,348.0,0
2021-03-23,330.0,344.0,330.0,334.0,334.0,35400
2021-03-24,334.0,346.0,328.0,346.0,346.0,14100
2021-03-25,332.0,342.0,332.0,342.0,342.0,24700
2021-03-26,348.0,348.0,348.0,348.0,348.0,25000
2021-03-29,348.0,348.0,348.0,348.0,348.0,20000
2021-03-30,348.0,348.0,328.0,342.0,342.0,800
2021-03-31,348.0,348.0,348.0,348.0,348.0,10000
2021-04-01,340.0,348.0,340.0,348.0,348.0,20100
2021-04-05,340.0,348.0,340.0,348.0,348.0,20800
2021-04-06,340.0,344.0,340.0,344.0,344.0,119500
2021-04-07,334.0,344.0,334.0,344.0,344.0,30400
2021-04-08,344.0,344.0,344.0,344.0,344.0,20000
2021-04-09,344.0,344.0,344.0,344.0,344.0,0
2021-04-12,344.0,344.0,334.0,344.0,344.0,161300
2021-04-14,342.0,344.0,336.0,344.0,344.0,20500
