Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1830.0,1830.0,1830.0,1830.0,1830.0,200
2021-03-02,1830.0,1900.0,1830.0,1900.0,1900.0,11000
2021-03-03,1900.0,2300.0,1900.0,2250.0,2250.0,27900
2021-03-04,2250.0,2300.0,2100.0,2100.0,2100.0,9800
2021-03-05,2100.0,2100.0,1955.0,1955.0,1955.0,10000
2021-03-08,1955.0,1955.0,1940.0,1955.0,1955.0,54300
2021-03-09,1880.0,1970.0,1820.0,1970.0,1970.0,17100
2021-03-10,1970.0,2150.0,1920.0,1920.0,1920.0,5900
2021-03-12,1920.0,1920.0,1835.0,1850.0,1850.0,8600
2021-03-15,2000.0,2310.0,1900.0,1900.0,1900.0,10200
2021-03-16,1850.0,1880.0,1850.0,1880.0,1880.0,1000
2021-03-17,1880.0,1920.0,1860.0,1860.0,1860.0,25100
2021-03-18,1870.0,1870.0,1860.0,1860.0,1860.0,500
2021-03-19,1855.0,1860.0,1855.0,1855.0,1855.0,1000
2021-03-22,1860.0,1865.0,1860.0,1865.0,1865.0,200
2021-03-23,1865.0,1900.0,1865.0,1900.0,1900.0,11200
2021-03-24,1900.0,1900.0,1890.0,1890.0,1890.0,5100
2021-03-25,1900.0,1900.0,1845.0,1845.0,1845.0,1000
2021-03-26,1845.0,2230.0,1845.0,2200.0,2200.0,3900
2021-03-29,2060.0,2150.0,2050.0,2100.0,2100.0,4600
2021-03-30,2000.0,2000.0,1960.0,1960.0,1960.0,7000
2021-03-31,1960.0,1970.0,1950.0,1950.0,1950.0,6700
2021-04-01,1950.0,2190.0,1900.0,2120.0,2120.0,3000
2021-04-05,2080.0,2080.0,1980.0,2050.0,2050.0,11100
2021-04-06,2050.0,2050.0,2050.0,2050.0,2050.0,100
2021-04-07,2050.0,2140.0,1940.0,1940.0,1940.0,6600
2021-04-08,1940.0,2190.0,1915.0,2090.0,2090.0,3200
2021-04-09,2090.0,2160.0,1945.0,1945.0,1945.0,10400
2021-04-12,1945.0,1945.0,1945.0,1945.0,1945.0,1700
2021-04-14,1940.0,1940.0,1910.0,1935.0,1935.0,2700
